key,ceb
title,Giya Sa Pagkolekta Sa Datos Sa Pagpangisda
subtitle,Usa ka giya alang sa pagdumala sa mga survey aron makakuha og datos sa pangisda
intro,Pasiuna
p1,"Ang kini nga dokumento naghatag giya ug mga rekomendasyon alang sa pagdumala sa tulo nga mga instrumento sa survey aron makuha ang kasayuran bahin sa mga komunidad sa pangisda ug mga pangisda nga ilang gisaligan (Figure 1). Ang mga survey gilaraw aron ipahiuyon ang sulud sa kung giunsa magamit ang datos ug gilauman ang frequency sa pagbag-o. Ang labing taas nga ang-ang survey, Sa Komunidad Profiling, naglangkob sa mga pangutana nga makatabang sa pagtukod sa usa ka mas maayo nga pagsabut sa kalihokan sa pagpangisda diha sa komunidad ug sa socioeconomic nga kahimtang. Ang pagsabut sa socio-economic landscape labi ka hinungdanon kung ang trabaho una magsugod sa usa ka komunidad. Ang kasayuran nga nakolekta sa kini nga survey hinungdanon alang sa pagdesinyo sa mga estratehiya sa pakiglambigit sa komunidad ug mga plano sa sampling sa datos. Ang Pag-Profile Ug Pag-Monitor sa Mga survey nagkolekta datos sa nakuha nga natanggong sa pangisda. Ang datos sa Pag-Profile sa Landing nakolekta dili kaayo kanunay ug nakuha ang kasayuran bahin sa puy-anan sa pangisda, tipo sa gear, paningkamot, ug gitas-on sa indibidwal nga isda. Ang Landings Monitoring survey, sa minithi nga gipahigayon sa adlaw-adlaw, mao ang usa ka paspas nga fisheries survey sa pagkolekta sa minimum nga kantidad sa impormasyon nga gikinahanglan aron sa pagsubay sa pagdakop gidaghanon ug bili sa mga kausaban, sama sa matang, gibug-aton, ihap ug bili."
fig1,Figure 1: Timeline alang sa pagdumala sa tulo nga lainlaing mga instrumento sa survey sa usa ka tuig nga sukod.
survey,Mga Detalye Sa Survey
cps,Komunidad Profiling Survey
goal,Tumong
p2,Sabta ang kinatibuk-ang talan-awon sa komunidad ug ang mga pangisda nga naglihok sa sulod sa komunidad.
dc,Nakolekta Ang Datos
point1,"Gidaghanon sa mga miyembro sa komunidad, mangingisda, mga negosyante sa isda, mga babaye"
point2,Kinatibuk-ang talan-awon sa mga pangisda nga naglihok sa sulod sa komunidad
point3,Gears nga gigamit; matang target; habitat isda; mga panahon; mga sudlanan
point4,Impormasyon sa paningkamot sa pagpangisda ug gasto
point5,"Panglantaw sa pangisda ug habitat kahimtang, mga hulga"
point6,Impormasyon sa kasamtangan nga pagdumala sa pangisda/regulasyon
point7,"Identification (pinaagi sa mapa) sa importante nga mga nataran sa pangisda, puy-anan, landing sites"
ta,Target Nga Mamiminaw
p3,"10-20 key informants sulod sa komunidad, nga mao, mga lider sa komunidad, gitahod nga mga mangingisda, mga negosyante sa isda, ug mga babaye."
ft,Frequency ug Sa Panahon
p4,"Kung nagsugod ang trabaho sa usa ka bag-ong komunidad sa pangisda, ang pagpahigayon sa Survey Sa Profiling sa Komunidad ug ang inisyal nga ehersisyo sa pag-profiling naghatag sa baseline data ug may kalabutan nga kasayuran sa pagdesinyo sa mga paningkamot sa pagtipig ug pagdumala nga labing angay alang sa komunidad. Ang pagsubli sa Survey sa Profiling sa Komunidad makatabang sa pagdokumento sa hinungdanon nga mga pagbag-o nga nahinabo sa paglabay sa panahon."
method,Pamaagi
