key,es
title,Orientación sobre la Recopilación de Datos Pesqueros
subtitle,Guía para administrar encuestas para obtener datos pesqueros
intro,Introducción
p1,"Este documento proporciona orientación y recomendaciones para administrar tres instrumentos de encuesta para capturar información sobre las comunidades pesqueras y las pesquerías de las que dependen (Figura 1). Las encuestas fueron diseñadas para alinear el contenido con la forma en que se utilizarán los datos y la frecuencia esperada de cambio. La encuesta de más alto nivel, Perfiles comunitarios, contiene preguntas que ayudan a comprender mejor la actividad pesquera en la comunidad y las condiciones socioeconómicas. Comprender el panorama socioeconómico es especialmente importante cuando el trabajo comienza por primera vez en una comunidad. La información recopilada durante esta encuesta es esencial para diseñar estrategias de participación comunitaria y planes de muestreo de datos. Las encuestas de Perfil y Monitoreo de Desembarques recopilan datos sobre las capturas desembarcadas por las pesquerías. Los datos de Perfiles de Desembarque se recopilan con menos frecuencia y capturan información sobre el hábitat de pesca, el tipo de arte, el esfuerzo y la longitud de los peces individuales. La encuesta de Monitoreo de Desembarques, idealmente realizada a diario, es una encuesta rápida de pesquerías que recopila la cantidad mínima de información necesaria para rastrear los cambios en el volumen y el valor de las capturas, como las especies, el peso, el recuento y el precio."
fig1,Figura 1: Cronograma para administrar los tres instrumentos de encuesta diferentes en una escala de un año.
survey,Detalles de la Encuesta
cps,Encuesta de Perfiles de la Comunidad
goal,Objetivo
p2,Comprender el panorama general de la comunidad y las pesquerías que operan dentro de la comunidad.
dc,Datos Recopilados
point1,"Número de miembros de la comunidad, pescadores, comerciantes de pescado, mujeres"
point2,Panorama general de las pesquerías que faenan en la comunidad
point3,Artes utilizados; especies objetivo; hábitat pescado; estaciones; embarcaciones
point4,Información sobre el esfuerzo pesquero y el coste
point5,"Percepciones sobre las condiciones de pesca y hábitat, amenazas"
point6,Información sobre la gestión/reglamentación pesquera actual
point7,"Identificación (mediante cartografía) de zonas de pesca, hábitats y lugares de desembarque importantes"
ta,Público Objetivo
p3,"10-20 informantes clave dentro de la comunidad, a saber, líderes comunitarios, pescadores respetados, comerciantes de pescado y mujeres."
ft,Frecuencia y Temporización
p4,"Cuando se comienza a trabajar en una nueva comunidad pesquera, la realización de la Encuesta de Perfil Comunitario y el ejercicio de perfil inicial proporciona datos de referencia e información relevante para diseñar los esfuerzos de conservación y manejo más apropiados para la comunidad. Repetir la Encuesta de Creación de perfiles de la Comunidad puede ayudar a documentar los cambios significativos que ocurren con el tiempo."
method,Metodología
p5,"La información se puede recopilar a través de encuestas de terceros (es decir, censos, registros del departamento de pesca, etc.), grupos focales compuestos por 10-20 miembros clave de la comunidad o informantes clave. Los líderes comunitarios, así como una variedad de pescadores y comerciantes de pescado conocedores y diversos (incluidas mujeres y jóvenes) serían los participantes ideales para incluir en el grupo focal. Al facilitar los grupos focales, se recomienda tener, como mínimo, un facilitador y un tomador de notas. En el grupo focal, también se recomienda que los participantes proporcionen una lista de / información de contacto para los pescadores de la comunidad a quienes luego se pueda contactar para administrar las Encuestas de hogares. Si no es posible llevar a cabo la Encuesta de Perfiles Comunitarios en un formato de grupo focal, una alternativa es administrar las mismas preguntas que las encuestas individuales con informantes clave y agrupar las respuestas. Las preguntas incluidas en la encuesta de perfiles de la comunidad y las recomendaciones para llevar a cabo discusiones de grupos focales se pueden encontrar en el apéndice A a continuación."
lms,Encuesta de Monitoreo de Desembarques
