key,fil
title,Patnubay Sa Pagkolekta Ng Data Ng Pangisdaan
subtitle,Isang gabay para sa pangangasiwa ng mga survey upang makakuha ng data ng pangisdaan
intro,Panimula
p1,"Ang dokumentong ito ay nagbibigay ng patnubay at mga rekomendasyon para sa pangangasiwa ng tatlong instrumento sa pagsisiyasat upang makuha ang impormasyon tungkol sa mga komunidad ng pangingisda at ang mga pangingisda na kanilang pinagkakatiwalaan (hulagway 1). Ang mga survey ay idinisenyo upang ihanay ang nilalaman sa kung paano gagamitin ang data at inaasahang dalas ng pagbabago. Ang pinakamataas na antas ng survey, ang pag-profile ng komunidad, ay naglalaman ng mga katanungan na makakatulong upang makabuo ng isang mas mahusay na pag-unawa sa aktibidad ng pangingisda sa komunidad at mga kondisyon sa sosyoekonomiko. Ang pag-unawa sa socioeconomic landscape ay lalong mahalaga kapag ang trabaho ay unang nagsisimula sa isang komunidad. Ang impormasyong nakolekta sa panahon ng survey na ito ay mahalaga para sa pagdidisenyo ng mga diskarte sa pakikipag-ugnayan sa komunidad at mga plano sa pag-sample ng data. Ang mga landings Profiling at Monitoring survey ay nangongolekta ng data sa catch na nakalapag ng mga pangisdaan. Ang data ng pag-profile ng Mga Landing ay hindi gaanong madalas na kinokolekta at kinukuha ang impormasyon tungkol sa tirahan ng pangingisda, uri ng gear, pagsisikap, at haba ng mga indibidwal na isda. Ang Landings Monitoring survey, na may perpektong isinasagawa araw-araw, ay isang mabilis na survey ng pangisdaan na nangongolekta ng minimum na halaga ng impormasyon na kinakailangan upang subaybayan ang dami ng catch at mga pagbabago sa halaga, tulad ng mga species, timbang, bilang at presyo."
fig1,Larawan 1: Timeline para sa pangangasiwa ng tatlong magkakaibang mga instrumento sa survey sa isang sukat ng isang taon.
survey,Mga Detalye Ng Survey
cps,Surbey Sa Pag-Profile Ng Komunidad
goal,Layunin
p2,Unawain ang pangkalahatang tanawin ng komunidad at ang mga pangisdaan na tumatakbo sa loob ng komunidad.
dc,Nakolekta Ang Data
point1,"Bilang ng mga miyembro ng komunidad, mangingisda, mangangalakal ng isda, kababaihan"
point2,Pangkalahatang tanawin ng mga pangingisda na nagpapatakbo sa loob ng komunidad
point3,Ginamit ang mga Gears; target na species; tirahan fished; panahon; mga sisidlan
point4,Impormasyon tungkol sa pagsisikap at gastos sa pangingisda
point5,"Mga pananaw sa mga pangisdaan at mga kondisyon ng tirahan, pagbabanta"
point6,Impormasyon sa kasalukuyang pamamahala/regulasyon ng pangisdaan
point7,"Pagkilala (sa pamamagitan ng pagmamapa) ng mahahalagang lugar ng pangingisda, tirahan, mga landing site"
ta,Target Na Madla
p3,"10-20 pangunahing impormante sa loob ng komunidad, katulad ng mga lider ng komunidad, iginagalang na mangingisda, mangangalakal ng isda, at kababaihan."
ft,Dalas at tiyempo
p4,"Kapag nagsimula ang trabaho sa isang bagong komunidad ng pangingisda, Ang pagsasagawa ng survey sa pag-profile ng komunidad at ang paunang pagsasanay sa pag-profile ay nagbibigay ng baseline na data at may kaugnayan na impormasyon upang mag-disenyo ng mga pagsisikap sa pag-iingat at pamamahala na pinakaangkop para sa komunidad. Ang pag-uulit ng survey sa pag-profile ng komunidad ay maaaring makatulong na idokumento ang mga makabuluhang pagbabago na nagaganap sa paglipas ng panahon."
method,Pamamaraan
