key,fr
title,Guide de Collecte de Données sur les Pêches
subtitle,Guide d'administration des enquêtes pour obtenir des données sur les pêches
intro,Présentation
p1,"Ce document fournit des conseils et des recommandations pour l'administration de trois instruments d'enquête afin de saisir des informations sur les communautés de pêcheurs et les pêches dont elles dépendent (figure 1). Les sondages ont été conçus pour aligner le contenu sur la façon dont les données seront utilisées et la fréquence prévue des changements. L'enquête de plus haut niveau, Profilage communautaire, contient des questions qui aident à mieux comprendre l'activité de pêche dans la communauté et les conditions socio-économiques. Il est particulièrement important de comprendre le paysage socio-économique lorsque le travail commence pour la première fois dans une communauté. Les informations recueillies au cours de cette enquête sont essentielles à la conception de stratégies d'engagement communautaire et de plans d'échantillonnage des données. Les enquêtes de profilage et de suivi des débarquements recueillent des données sur les captures débarquées par les pêcheries. Les données de profilage des débarquements sont recueillies moins fréquemment et saisissent des informations sur l'habitat de pêche, le type d'engin,l'effort et la longueur de chaque poisson. L'enquête de surveillance des débarquements, idéalement menée quotidiennement, est une enquête rapide sur les pêches qui recueille le minimum d'informations nécessaires pour suivre les changements de volume et de valeur des captures, tels que les espèces, le poids, le nombre et le prix."
fig1,Figure 1: Calendrier d'administration des trois différents instruments d'enquête sur une échelle d'un an.
survey,Détails de l'Enquête
cps,Enquête de Profilage Communautaire
goal,Objectif
p2,Comprendre le paysage général de la communauté et les pêcheries opérant au sein de la communauté.
dc,Données Collectées
point1,"Nombre de membres de la communauté, pêcheurs, négociants en poisson, femmes"
point2,Paysage général des pêcheries opérant dans la communauté
point3,Engins utilisés; espèces ciblées; habitat pêché; saisons; navires
point4,Informations sur l'effort et le coût de la pêche
point5,"Perceptions sur les pêches et les conditions de l'habitat, les menaces"
point6,Informations sur la gestion/réglementation actuelle des pêches
point7,"Identification (par cartographie) des zones de pêche, habitats et sites de débarquement importants"
ta,Public Cible
p3,"10 à 20 informateurs clés au sein de la communauté, à savoir des dirigeants communautaires, des pêcheurs respectés, des négociants en poisson et des femmes."
ft,Fréquence et Calendrier
p4,"Lorsque les travaux commencent dans une nouvelle communauté de pêcheurs, la réalisation de l'enquête de profilage communautaire et de l'exercice de profilage initial fournit des données de base et des informations pertinentes pour concevoir les efforts de conservation et de gestion les plus appropriés pour la communauté. Répéter l'Enquête de profilage communautaire peut aider à documenter les changements importants qui se produisent au fil du temps."
method,Méthodologie
p5,"L'information peut être recueillie au moyen d'enquêtes menées par des tiers (c.-à-d. recensement, dossiers du ministère des Pêches, etc.), de groupes de discussion composés de 10 à 20 membres clés de la communauté ou d'informateurs clés. Les dirigeants communautaires ainsi qu'une variété de pêcheurs et de commerçants de poisson bien informés et diversifiés (y compris les femmes et les jeunes) seraient les participants idéaux à inclure dans le groupe de discussion. Pour animer les groupes de discussion, il est recommandé d'avoir, au minimum, un animateur et un preneur de notes. Lors du groupe de discussion, il est également recommandé que les participants fournissent une liste des pêcheurs de la communauté et leurs coordonnées, qui peuvent ensuite être contactés pour administrer les enquêtes auprès des ménages. S'il n'est pas possible de mener l'Enquête de profilage communautaire dans un format de groupe de discussion, une alternative consiste à administrer les mêmes questions que les enquêtes individuelles avec des informateurs clés et à mettre en commun les réponses. Les questions incluses dans le sondage de profilage communautaire et les recommandations pour la tenue de discussions de groupe de discussion se trouvent à l'annexe A ci-dessous."
lms,Enquête de Surveillance des Débarquements
p6,"Saisir les données clés nécessaires pour calculer des indicateurs simples de la santé des pêches basés sur la longueur et pour suivre les changements dans la production, la valeur et la composition des pêches."
point8,Date de débarquement
point9,Lieu d'atterrissage
point10,Nom du commerçant de poisson
point11,Nom du pêcheur
point12,Effort de pêche (jours de pêche / glanage)
point13,"Identité de l'espèce (noms locaux, communs, scientifiques)"
point14,Nombre total
point15,Poids total
point16,Prix total
point17,"Raison capture totale non vendue, le cas échéant"
p7,Les pêcheurs lorsqu'ils débarquent leurs prises ou chez un acheteur de poisson/marché.
p8,"L'enquête de surveillance des débarquements devrait être effectuée quotidiennement ou aussi souvent que possible. Effectuer des relevés de surveillance des débarquements avant et après la mise en œuvre pour évaluer les effets des fermetures de pêcheries ou d'autres stratégies de gestion. Nous recommandons de collecter les données 30 jours avant et après les périodes de fermeture temporaire. Pendant les sept premiers jours des périodes d'échantillonnage, nous recommandons que les enquêteurs effectuent quotidiennement des relevés de surveillance des débarquements. Si possible, continuez la surveillance quotidienne pendant toute la période de 30 jours. Si cela n'est pas possible, interrogez au moins 80% des jours tous les 30 jours. Nous recommandons également de sonder 80% ou plus de tous les pêcheurs débarquant des prises un jour donné avant ou après la fermeture. Répartir les efforts d'enquête représentatifs entre les pêcheurs en bateau et les pêcheurs non en bateau. Recueillir des données auprès de tous les pêcheurs débarquant dans le village, qu'ils pêchent ou non dans le site de fermeture."
p9,"Pour les fermetures à plus long terme, assurez-vous que les données sont recueillies au cours du même mois pour chaque année afin de saisir les changements au cours de la période de fermeture. Si cela n'est pas possible, nous recommandons de collecter des données au cours du même mois avant et après la fermeture. Comme indiqué ci-dessus, nous recommandons de surveiller au moins 80% de la journée dans le mois et 80% des pêcheurs débarquant des prises chaque jour."
p10,"À l'aide du formulaire Kobo, rencontrez les pêcheurs sur les sites de débarquement/chez les acheteurs pour enregistrer leurs prises."
lps,Enquête sur le Profilage Des Débarquements
p11,Comprendre les tendances des prises observées.
point18,Date de débarquement
point19,Lieu d'atterrissage
point20,Zone de pêche principale
point21,Nom du commerçant de poisson
point22,Nom du pêcheur
point23,Effort de pêche (heures et jours de pêche / glanage)
point24,"Type de bateau (numéro d'immatriculation du bateau, numéro d'équipage)"
point25,"Identité de l'espèce (noms locaux, communs, scientifiques)"
point26,Engrenages utilisés
point27,Habitat pêché
point28,Nombre total
point29,Poids total
point30,Prix total
point31,"Raison capture totale non vendue, le cas échéant"
point32,Échantillons de poids et de longueurs individuels (figures 2-8)
point33,"Données d'échantillonnage spécifiques au partenaire (sexe, qualité des prises, gonades, stylet, # pièges, etc.)"
p12,"Un échantillon représentatif des captures au sein de la communauté. Enregistrez au moins 50 échantillons (idéalement 100) pour chaque espèce cible, représentant divers types d'engins et profils de pêcheurs."
p13,"Cette enquête devrait d'abord être menée au début de l'implication dans une communauté, puis réalisée tous les un à deux ans, avant et après la mise en œuvre de la stratégie de gestion, ou au besoin pour expliquer les déclins observés grâce aux données de surveillance. À l'aide du formulaire Kobo, rencontrez les pêcheurs sur les sites de débarquement pour échantillonner leurs prises et enregistrer leur activité de pêche."
p14,"À l'aide du formulaire Kobo, rencontrez les pêcheurs sur les sites de débarquement pour échantillonner leurs prises et enregistrer leur activité de pêche."
ms,Standardisation des mesures: Type de longueur à mesurer par groupe d'espèces
fig2,"Figure 2: La longueur totale doit être utilisée pour mesurer les poissons à nageoires, les requins et les anguilles (AFS)."
fig3,Figure 3: La largeur du disque doit être utilisée pour mesurer les rayons et les patins.
fig4,"Figure 4: La largeur de la carapace doit être utilisée pour mesurer le crabe (Suryandari et. al, 2018)."
fig5,Figure 5: La longueur du manteau doit être utilisée pour mesurer le poulpe et le calmar (FAO).
fig6,Figure 6: La longueur de la carapace doit être utilisée pour mesurer les crevettes et le homard (Hart et al. 2001).
fig7,Figure 7: La longueur doit être utilisée pour mesurer les bivalves et les gastéropodes.
fig8,Figure 8: La longueur totale doit être utilisée pour mesurer les concombres de mer. La largeur ou le diamètre d'essai doit être utilisé lors de la mesure des oursins.
dfo,Aperçu du Flux de Données
p15,"La collecte, la validation, la transformation et la visualisation des données sont les quatre principales composantes du système de données. Les principales applications logicielles utilisées sont KoboToolBox, Smartsheet, PostgreSQL et R."
p16,"KoboToolBox est un logiciel gratuit et open source qui constitue une boîte à outils puissante pour la collecte de données accessible dans des environnements difficiles et sur plusieurs plates-formes, telles que des appareils mobiles, des ordinateurs et du papier. Les enquêteurs recueillent des données sur les conditions socioéconomiques et écologiques essentielles pour évaluer les communautés et les statuts des pêcheries au moyen des questionnaires d'enquête KoboToolBox. Smartsheet est une plateforme de gestion collaborative du travail qui fournit une interface flexible et intuitive permettant aux organisations de planifier, suivre, automatiser et gérer divers projets et processus en temps réel. Les fichiers de référence utilisés pour remplir les formulaires d'enquête et connecter des données supplémentaires aux ensembles de données maîtres sont gérés dans Smartsheet. De plus, les données sont validées dans Smartsheet. PostgreSQL est un système de gestion de base de données gratuit et open source utilisé comme entrepôt de données pour de nombreuses applications Web, analytiques et géospatiales tout en stockant des données non structurées et structurées dans un seul produit. R est un environnement logiciel libre et open source et un langage de programmation largement utilisé pour la science des données, le calcul statistique et la visualisation des données. Les tableaux de bord de données sont créés à l'aide du package Shiny du langage de programmation R et hébergés sur shinyapps.io, une plate-forme en tant que service (PaaS) pour l'hébergement d'applications Web brillantes (applications)."
fig9,Figure 9: Diagramme de flux de données.
