key,id
title,Panduan Pendataan Perikanan
subtitle,Panduan penyelenggaraan survei untuk memperoleh data perikanan
intro,Pengantar
p1,"Dokumen ini memberikan panduan dan rekomendasi untuk mengelola tiga instrumen survei untuk mengumpulkan informasi tentang komunitas nelayan dan perikanan yang mereka andalkan (Gambar 1). Survei dirancang untuk menyelaraskan konten terhadap bagaimana data akan digunakan dan frekuensi perubahan yang diharapkan. Survei tingkat tertinggi, Community Profiling, berisi pertanyaan-pertanyaan yang membantu membangun pemahaman yang lebih baik tentang aktivitas penangkapan ikan di masyarakat dan kondisi sosial ekonomi. Memahami lanskap sosial ekonomi sangat penting ketika pekerjaan pertama kali dimulai di sebuah komunitas. Informasi yang dikumpulkan selama survei ini sangat penting untuk merancang strategi keterlibatan masyarakat dan rencana pengambilan sampel data. Survei Profil dan Pemantauan Pendaratan mengumpulkan data tentang tangkapan yang didaratkan oleh perikanan. Data Profil Pendaratan dikumpulkan lebih jarang dan mengumpulkan informasi tentang habitat penangkapan ikan, jenis peralatan, upaya, dan panjang individu ikan. Survei Pemantauan Pendaratan, idealnya dilakukan setiap hari, adalah survei perikanan cepat yang mengumpulkan informasi dalam jumlah minimum yang diperlukan untuk melacak volume tangkapan dan perubahan nilai, seperti spesies, berat, jumlah, dan harga."
fig1,Gambar 1: Lini masa untuk mengelola tiga instrumen survei yang berbeda dalam skala satu tahun.
survey,Rincian Survei
cps,Survei Profil Komunitas
goal,Tujuan
p2,Memahami lanskap umum komunitas dan perikanan yang beroperasi di dalam komunitas.
dc,Data yang Dikumpulkan
point1,"Jumlah anggota komunitas, nelayan, pedagang ikan, perempuan"
point2,Lanskap umum perikanan yang beroperasi di komunitas
point3,Alat tangkap yang digunakan; spesies yang ditargetkan; habitat lokasi menangkap; musim; kapal
point4,Informasi tentang usaha dan biaya penangkapan ikan
point5,"Persepsi tentang kondisi perikanan dan habitat, ancaman"
point6,Informasi tentang pengelolaan/peraturan perikanan saat ini
point7,"Identifikasi (melalui pemetaan) lokasi penangkapan ikan yang penting, habitat, lokasi pendaratan"
ta,Target Responden
p3,"10-20 informan kunci dalam komunitas, yaitu tokoh masyarakat, tokoh nelayan, pedagang ikan, dan perempuan."
ft,Frekuensi dan Waktu
p4,"Ketika pekerjaan dimulai di komunitas nelayan baru, melakukan Survei Profil Komunitas dan pembuatan profil awal memberikan data dasar dan informasi yang relevan untuk merancang upaya konservasi dan pengelolaan yang paling tepat bagi masyarakat. Mengulangi Survei Profil Komunitas dapat membantu mendokumentasikan perubahan signifikan yang terjadi dari waktu ke waktu."
method,Metodologi
p5,"Informasi dapat dikumpulkan melalui survei pihak ketiga (yaitu, sensus, catatan departemen perikanan, dll.), diskusi kelompok terpumpun terdiri dari 10-20 anggota komunitas kunci atau informan kunci. Tokoh masyarakat serta berbagai nelayan dan pedagang ikan yang berpengetahuan luas dan beragam (termasuk perempuan dan pemuda) akan menjadi peserta yang ideal untuk dimasukkan dalam diskusi kelompok terpumpun. Dalam memfasilitasi kelompok terpumpun, disarankan untuk memiliki, minimal, fasilitator dan notulis. Pada diskusi kelompok terpumpun juga disarankan agar peserta memberikan daftar/informasi kontak bagi para nelayan di komunitas yang kemudian dapat dihubungi untuk penyelenggaraan Survei Rumah Tangga. Jika Survei Profil Komunitas tidak dapat dilakukan dalam format diskusi kelompok termpumpun, alternatifnya adalah dengan mengajukan pertanyaan yang sama seperti survei individu dengan informan kunci dan mengumpulkan tanggapannya. Pertanyaan yang termasuk dalam survei profil komunitas dan rekomendasi untuk melakukan diskusi kelompok terpumpun dapat dilihat pada Lampiran A di bawah ini."
lms,Survei Pemantauan Pendaratan
p6,"Mengumpulkan data kunci yang diperlukan untuk memperhitungkan indikator kesehatan perikanan berbasis panjang yang sederhana dan untuk melacak perubahan dalam produksi perikanan, nilai, dan komposisi."
point8,Tanggal pendaratan
point9,Lokasi pendaratan
point10,Nama pedagang ikan
point11,Nama Nelayan
point12,Upaya Penangkapan Ikan (hari memancing/memungut)
point13,"Identitas spesies (lokal, umum, nama ilmiah)"
point14,Jumlah total
point15,Berat total
point16,Total harga
point17,"Alasan total tangkapan tidak terjual, jika ada"
p7,Nelayan saat mereka mendaratkan hasil tangkapannya atau di rumah/pasar pembeli ikan.
p8,"Survei Pemantauan Pendaratan harus dilakukan setiap hari atau sesering mungkin. Melakukan Survei Pemantauan Pendaratan sebelum dan sesudah pelaksanaan pengelolaan untuk mengevaluasi dampak penutupan perikanan atau strategi pengelolaan lainnya. Kami merekomendasikan pengumpulan data 30 hari sebelum dan sesudah periode penutupan sementara. Selama tujuh hari pertama periode pengambilan sampel, kami menyarankan agar pencacah melakukan Survei Pemantauan Pendaratan setiap hari. Jika memungkinkan, lanjutkan pemantauan harian selama periode 30 hari. Jika ini tidak memungkinkan, survei setidaknya 80% hari dalam setiap 30 hari. Kami juga merekomendasikan untuk mensurvei 80% atau lebih dari semua tangkapan pendaratan nelayan pada hari tertentu sebelum atau sesudah penutupan. Mendistribusikan upaya survei yang representatif antara nelayan yang menggunakan perahu dan nelayan tanpa perahu. Kumpulkan data dari semua nelayan yang mendarat di desa, terlepas dari apakah mereka sedang memancing di dalam lokasi penutupan atau tidak."
p9,"Untuk penutupan jangka panjang, pastikan bahwa data dikumpulkan selama bulan yang sama untuk setiap tahun untuk menangkap perubahan selama periode penutupan. Jika itu tidak memungkinkan, kami sarankan untuk mengumpulkan data selama bulan yang sama sebelum dan sesudah penutupan. Seperti yang dinyatakan di atas, kami menyarankan untuk mensurvei setidaknya 80% hari dalam sebulan dan 80% tangkapan pendaratan nelayan setiap hari."
p10,"Dengan menggunakan formulir Kobo, temui nelayan di lokasi pendaratan/rumah pembeli untuk mencatat hasil tangkapannya."
lps,Survei Profil Pendaratan
p11,Pahami tren tangkapan yang diamati.
point18,Tanggal pendaratan
point19,Lokasi pendaratan
point20,Tempat penangkapan ikan utama
point21,Nama pedagang ikan
point22,Nama Nelayan
point23,Upaya Penangkapan Ikan (jam dan hari penangkapan/pengumpulan)
point24,"Jenis kapal (nomor registrasi kapal, jumlah awak kapal)"
point25,"Identitas spesies (lokal, umum, nama ilmiah)"
point26,Alat tangkap yang digunakan
point27,Habitat lokasi penangkapan
point28,Jumlah total
point29,Berat total
point30,Total harga
point31,"Alasan total tangkapan yang tidak terjual, jika ada"
point32,Sampel berat dan panjang individu (Gambar 2-8)
point33,"Data sampel mitra spesifik (jenis kelamin, kualitas tangkapan, gonad, stilet, # bubu, dll.)"
p12,"Sampel hasil tangkapan yang representatif di dalam komunitas. Catat setidaknya 50 sampel (idealnya 100) untuk setiap spesies target, yang mewakili berbagai jenis alat tangkap dan profil nelayan."
p13,"Survei ini awalnya harus dilakukan pada awal keterlibatan dalam suatu komunitas dan selanjutnya dilakukan setiap satu hingga dua tahun, sebelum dan sesudah menerapkan strategi pengelolaan, atau sesuai kebutuhan untuk menjelaskan penurunan yang diamati melalui data pemantauan. Dengan menggunakan formulir Kobo, temui nelayan di lokasi pendaratan untuk mengambil sampel hasil tangkapan mereka dan mencatat aktivitas penangkapan ikan mereka."
p14,"Dengan menggunakan formulir Kobo, temui nelayan di lokasi pendaratan untuk mengambil sampel hasil tangkapan mereka dan mencatat aktivitas penangkapan ikan mereka."
ms,Standarisasi Pengukuran: Jenis panjang ikan yang diukur menurut kelompok spesies
fig2,"Gambar 2: Panjang total harus digunakan untuk mengukur ikan bersirip, hiu, dan sidat (AFS)."
fig3,Gambar 3: Lebar karapas harus digunakan untuk mengukur ikan pari dan ikan skate.
fig4,"Gambar 4: Lebar karapas harus digunakan saat mengukur kepiting (Suryandari et. al, 2018)."
fig5,Gambar 5: Panjang mantel harus digunakan saat mengukur gurita dan cumi-cumi (FAO).
fig6,Gambar 6: Panjang karapas harus digunakan saat mengukur udang dan lobster (Hart et al. 2001).
fig7,Gambar 7: Panjang harus digunakan saat mengukur bivalvia dan gastropoda.
fig8,Gambar 8: Panjang total harus digunakan saat mengukur teripang. Lebar atau diameter uji harus digunakan saat mengukur bulu babi.
dfo,Gambaran Umum Alur Data
p15,"Pengumpulan data, validasi, transformasi, dan visualisasi adalah empat komponen utama dari sistem data. Aplikasi perangkat lunak utama yang digunakan adalah KoBoToolbox, Smartsheet, PostgreSQL, dan R."
p16,"KoBoToolbox adalah perangkat lunak sumber terbuka (open source) dan gratis yang merupakan perangkat canggih untuk pengumpulan data yang dapat diakses melalui lingkungan yang menantang dan berbagai platform, seperti perangkat seluler, komputer, dan kertas. Pencacah data mengumpulkan data tentang kondisi sosial ekonomi dan ekologi yang penting untuk menilai komunitas dan status perikanan melalui kuesioner survei KoBoToolbox. Smartsheet adalah platform manajemen kerja kolaboratif yang menyediakan antarmuka yang fleksibel dan intuitif bagi organisasi untuk merencanakan, melacak, mengotomatiskan, dan mengelola berbagai proyek dan proses secara real-time. File referensi yang digunakan untuk mengisi formulir survei dan menghubungkan data tambahan ke kumpulan data master dikelola di Smartsheet. Selain itu, data divalidasi dalam Smartsheet. PostgreSQL adalah sistem manajemen basis data sumber terbuka (open source) dan gratis yang digunakan sebagai gudang data untuk berbagai aplikasi web, analitik, dan geospasial sambil menyimpan data tidak terstruktur dan terstruktur dalam satu produk. R adalah lingkungan perangkat lunak dan bahasa pemrograman sumber terbuka (open source) dan gratis yang banyak digunakan untuk data science, komputasi statistik, dan visualisasi data. Dasbor data dibuat menggunakan paket Shiny dari bahasa pemrograman R dan dihosting di shinyapps.io, platform sebagai layanan (PaaS) untuk menghosting aplikasi web (aplikasi) Shiny."
fig9,Gambar 9: Diagram Alur Data.
p17,"Pengumpulan data melibatkan pengumpulan dan pengukuran informasi secara sistematis dari sumber yang relevan tentang variabel yang diminati untuk pengambilan keputusan, perencanaan strategis, evaluasi hasil, dan tujuan lainnya. Dengan memasukkan data kuantitatif dan kualitatif dalam kuesioner survei, kami mengembangkan pemahaman yang lebih mendalam tentang kondisi sosial ekonomi dan ekologi yang berkaitan dengan komunitas perikanan dan strategi pengelolaan adaptif. Validasi data mengacu pada penerapan metode untuk mengukur kondisi data yang dikumpulkan dan menentukan apakah data yang dikumpulkan memenuhi kriteria kualitas yang ditentukan, seperti akurasi, konsistensi, relevansi, kelengkapan, dan keunikan. Transformasi data mengubah, membersihkan, dan menyusun data mentah menjadi format tepat yang dapat dianalisis dan dinilai untuk pengambilan keputusan. Analisis dan visualisasi data melibatkan perancangan dan pembuatan grafik atau tampilan visual informasi yang dapat diakses untuk mengomunikasikan data kualitatif dan kuantitatif kompleks yang sebelumnya dikumpulkan secara efektif, diverifikasi, dan ditransformasikan ke seluruh audiens target. Kami telah menjelaskan proses aliran data di bawah ini:"
step1,Data dikumpulkan melalui formulir survei KoBoToolbox.
step2,Data ditarik ke dalam basis data.
step3,"Jika pencacah data memilih pilihan jawaban yang telah diisi sebelumnya dalam survei, data tersebut tidak perlu divalidasi dan dapat langsung masuk ke proses analisis dan visualisasi data."
step4,"Jika pencacah data memasukkan data secara manual seperti nelayan baru, pembeli, pengumpul data, lokasi pendaratan, atau spesies, data diverifikasi di Smartsheet sebelum disertakan dalam tabel data akhir dan divisualisasikan di dasbor. Pimpinan tim lapangan diberi tahu melalui email saat data siap untuk validasi. Pemimpin tim akan memeriksa tabel quality control secara manual untuk mengonfirmasi bahwa informasi yang baru ditambahkan valid."
step5,"Setelah validasi, data baru diteruskan ke file referensi dan kembali ke database untuk transformasi akhir sebelum analisis dan visualisasi."
step6,"Setelah data diteruskan ke file referensi, pemimpin tim akan diberi tahu melalui email jika ada informasi tambahan yang diperlukan dalam file referensi."
step7,File referensi yang diperbarui kemudian diunggah ke platform KoBoToolbox untuk dimasukkan ke dalam formulir.
step8,Data yang diperbarui dari file referensi juga digunakan dalam proses transformasi data untuk menggabungkan bidang data tambahan seperti koordinat dan jenis kelamin.
step9,Langkah terakhir dari proses transformasi data menghasilkan tabel data master yang digunakan untuk analisis dan visualisasi data di dasbor data.
step10,"Dasbor data (yaitu Shiny apps) terhubung langsung ke basis data, menarik data terbaru yang tersedia, sehingga memberikan mitra akses langsung ke data mentah dan ringkasan data."
datasecurity,Keamanan Data
p18,Di bawah ini adalah daftar platform perangkat lunak tempat data dapat disimpan dan dipindahkan dalam perjalanan dari basis data. Informasi keamanan data untuk setiap platform eksternal tersedia di situs web khusus platform yang ditautkan di sini.
p19,"Prosedur keamanan tambahan diterapkan, selain langkah-langkah keamanan data yang disediakan oleh platform perangkat lunak di atas. Semua akun di semua platform perangkat lunak yang digunakan dilindungi kata sandi."
p20,"Kami menggunakan Github sebagai sistem kontrol versi untuk melacak perubahan pada kode sumber (coded product). Secara bawaan, semua folder dan proyek dengan data perikanan dan sosial ekonomi bersifat pribadi dan hanya dapat diakses oleh staf dan kontraktor."
p21,"Dari platform data bersama mana pun (misalnya Shiny Apps), autentikasi pengguna diperlukan untuk melihat atau mengunduh data, bergantung pada perjanjian berbagi data (data sharing agreement) yang dipilih oleh masing-masing organisasi mitra. Ini termasuk verifikasi pengguna sebelum mengizinkan data dilihat atau diunduh, pengguna masuk ke platform visualisasi data, dan pengelolaan rutin terkait pengguna yang terverifikasi."
p22,"Akses ke dokumen Smartsheet (misalnya file referensi, lembar validasi data) dibatasi hanya untuk staf yang ditentukan oleh masing-masing organisasi, dan setiap mitra hanya dapat melihat informasi khusus mitra mereka sendiri. Hal ini dikecualikan untuk staf yang mengontrol dan membantu alur kerja kualitas data, dan staf Blue Ventures yang membantu mitra dengan alur kerja informasi di Smartsheet."
dp,Privasi Data
p24,"Informasi identitas pribadi (IIP) dan data tangkapan ikan dimiliki oleh nelayan dan pembeli ikan dan tidak akan pernah dibagikan tanpa persetujuan sebelumnya. Untuk melindungi privasi nelayan, pembeli, dan pencacah data, semua nama dianonimkan menjadi nomor identifikasi acak. Oleh karena itu, semua data yang tersedia sebagian atau seluruhnya untuk umum hanya akan menyertakan nomor id numerik acak. Lihat bagian berbagi data untuk penjelasan lengkap tentang perjanjian berbagi data."
p25,Data yang dianggap IIP meliputi:
point34,"Nama nelayan, pembeli, dan pencacah data"
point35,Nama responden untuk survei apa pun
datasharing,Berbagi Data
p26,"Sistem data perikanan dirancang untuk merampingkan pemanfaatan data Anda dan menyediakan platform untuk keterlibatan aktif Anda dalam upaya pengelolaan dan konservasi perikanan yang lebih luas. Data gabungan yang dikumpulkan secara kolaboratif di seluruh mitra dapat menghasilkan wawasan yang kuat untuk memantau perikanan, menilai strategi pengelolaan, memandu pengambilan keputusan di tingkat lokal dan nasional, memahami perubahan regional, dan mengidentifikasi layanan keuangan potensial."
p27,"Kami menyadari pentingnya kepemilikan dan penggunaan data untuk semua mitra yang berkontribusi. Tujuan kami adalah memberi Anda fleksibilitas dalam mengelola dan menentukan bagaimana data Anda digunakan. Dengan memilih salah satu dari tiga tingkat izin penggunaan data, Anda dapat mengatur sejauh mana data Anda dibagikan dengan pengguna lain. Anda dapat menyesuaikan tingkat izin berdasarkan tipe data, dan yang terpenting, Anda memiliki kebebasan untuk menyesuaikan tingkat izin data Anda kapan saja. Informasi identitas pribadi (IIP) dan data tangkapan ikan dimiliki oleh nelayan dan pembeli ikan dan tidak akan pernah dibagikan tanpa persetujuan sebelumnya. Dengan memilih tingkat izin penggunaan data, Anda mengonfirmasi bahwa izin individual telah diperoleh dari nelayan dan pembeli ikan."
p28,Semua data saat ini disetel ke Level 1-Pribadi. Pengguna akan memiliki kesempatan untuk menyesuaikan tingkat izin mereka sesuai kebutuhan.
level1,Tingkat 1-Pribadi
point36,Data hanya untuk tujuan internal kontributor asli dari data.
point37,Data akan tersedia untuk diunduh oleh kontributor asli dari data.
point38,Data tidak akan disertakan dalam analisis regional yang disediakan di dasbor.
point39,Dilarang keras membagikan atau mendistribusikan data secara tidak sah kepada pihak eksternal.
