key,mg
title,Torolalana Momba Ny Fanangonana Antotan'isa Momba Ny Jono
subtitle,Torolalana amin'ny fitantanana fanadihadiana hahazoana antotan'isa momba ny jono
intro,Fampidirana
p1,"Ity antontan-taratasy ity dia manome torolàlana sy tolo-kevitra amin'ny fitantanana fitaovana fanadihadiana telo hisamborana vaovao momba ny vondrom-piarahamonina mpanjono sy ny jono ianteherany (Sary 1). Natao hampifanaraka ny votoaty amin'ny fomba hampiasana ny antotan'isa sy ny fahita matetika amin'ny fanovana ny fanadihadiana. Ny fanadihadiana avo lenta indrindra, Ny Famaritana ny Mombamomba ny Vondrom-piarahamonina, dia ahitana fanontaniana izay manampy amin'ny fananganana fahatakarana tsara kokoa ny asa fanjonoana ao amin'ny vondrom-piarahamonina sy ny toe-piainana ara-tsosialy sy ara-toekarena. Zava-dehibe indrindra ny fahatakarana ny tontolo ara-tsosialy sy ara-toekarena rehefa manomboka ny asa ao amin'ny vondrom-piarahamonina iray. Ny vaovao nangonina nandritra ity fanadihadiana ity dia tena ilaina amin'ny famolavolana paikady fandraisana anjaran'ny vondrom-piarahamonina sy drafitra fakana santionany. Ny Fanadihadiana momba ny Fipetrahana sy ny fanaraha-maso dia manangona angon-drakitra momba ny vokatra azon'ny jono. Tsy dia voangona matetika loatra ny antotan'isa momba ny Fipetrahana ary maka vaovao momba ny toeram-ponenan'ny trondro, ny karazana fitaovana, ny ezaka ary ny halavan'ny trondro tsirairay. Ny Fanadihadiana Momba ny Fanaraha-maso ny Fipetrahana, izay atao isan'andro, dia fanadihadiana haingana momba ny jono izay manangona ny fampahalalana farafahakeliny ilaina hanarahana ny habetsaky ny trondro sy ny fiovan'ny sanda, toy ny karazany, ny lanjany, ny isa ary ny vidiny."
fig1,Sary 1: Fandaharam-potoana amin'ny fitantanana ireo fitaovana fanadihadiana telo samihafa amin'ny ambaratonga iray taona.
survey,Antsipirihan'ny Fanadihadiana
cps,Fanadihadiana Momba Ny Mombamomba Ny Vondrom-Piarahamonina
goal,Tanjona
p2,Fantaro ny tontolon'ny vondrom-piarahamonina sy ny jono miasa ao anatin'ny vondrom-piarahamonina.
dc,Antotan'isa Nangonina
point1,"Isan'ny mpikambana ao amin'ny vondrom-piarahamonina, mpanjono, mpivarotra trondro, vehivavy"
point2,Ny tontolon'ny jono miasa ao anatin'ny vondrom-piarahamonina
point3,Fitaovana ampiasaina; karazana vokatra kendrena; toeram-ponenana trondro; vanim-potoana; fitaovana fitaterana
point4,Fampahalalana momba ny ezaka fanjonoana sy ny vidin'ny jono
point5,"Fomba fijery momba ny jono sy ny toetry ny toeram-ponenana, fandrahonana"
point6,Fampahalalana momba ny fitantanana/fitsipika momba ny jono ankehitriny
point7,"Famantarana (amin'ny alalan'ny sarintany) ny toerana fanjonoana manan-danja, toeram-ponenana, toerana fahatongavan'ny vokatra"
ta,Mpihaino Kendrena
p3,"10-20 ireo mpanome vaovao fototra ao anatin'ny vondrom-piarahamonina, dia ireo mpitarika ny vondrom-piarahamonina, ireo mpanjono hajaina, ireo mpivarotra trondro, ary ireo vehivavy."
ft,Fiverenana sy Ny Fotoana
p4,"Rehefa manomboka ny asa ao amin'ny vondrom-piarahamonina mpanjono vaovao, ny Fanaovana Ny Fanadihadiana Mombamomba ny Vondrom-piarahamonina sy ny fampiharana ny mombamomba voalohany dia manome antotan'isa fototra sy fampahalalana mifandraika amin'ny famolavolana ny ezaka fiarovana sy fitantanana mety indrindra ho an'ny vondrom-piarahamonina. Ny famerenana ny Fanadihadiana ny Mombamomba ny Vondrom-piarahamonina dia afaka manampy amin'ny fandraketana ireo fiovana lehibe mitranga rehefa mandeha ny fotoana."
method,Fomba fiasa
