key,pt
title,Orientações Relativas À Recolha De Dados Sobre As Pescas
subtitle,Um guia para a gestão de inquéritos para obtenção de dados sobre as pescas
intro,Introdução
p1,"Este documento fornece orientações e recomendações para a gestão de três instrumentos de inquérito destinados a captar informações sobre as comunidades piscatórias e as pescarias em que dependem (Figura 1). Os inquéritos foram concebidos para alinhar o conteúdo com a forma como os dados serão utilizados e a frequência esperada de mudança. O inquérito de mais alto nível, A definição de perfis comunitários, contém questões que contribuem para uma melhor compreensão da actividade pesqueira na comunidade e das condições socioeconómicas. A compreensão do panorama socioeconómico é especialmente importante quando o trabalho começa pela primeira vez numa comunidade. As informações recolhidas durante este inquérito são essenciais para conceber estratégias de envolvimento da comunidade e planos de amostragem de dados. Os inquéritos de definição de perfis e de acompanhamento dos desembarques recolhem dados sobre as capturas desembarcadas pelas pescarias. Os dados de perfil dos desembarques são recolhidos com menos frequência e captam informações sobre o habitat de pesca, o tipo de arte, o esforço e a duração de cada peixe. O inquérito de acompanhamento dos desembarques, idealmente realizado diariamente, é um inquérito rápido às pescas que recolhe a quantidade mínima de informações necessárias para acompanhar as variações do volume e do valor das capturas, tais como as espécies, o peso, a contagem e o preço."
fig1,Figura 1: Calendário para a administração dos três diferentes instrumentos de inquérito numa escala de um ano.
survey,Detalhes Do Inquérito
cps,Inquérito Comunitário Sobre A Definição De Perfis
goal,Objectivo
p2,Compreender o panorama geral da comunidade e as pescas que operam na comunidade.
dc,Dados Recolhidos
point1,"Número de membros da comunidade, pescadores, comerciantes de peixe, mulheres"
point2,Paisagem geral das pescarias que operam na comunidade
point3,Artes utilizadas; espécies visadas; habitat pescado; estações do ano; Navios
point4,Informações sobre o esforço e os custos de pesca
point5,"Percepções sobre as condições da pesca e do habitat, ameaças"
point6,Informação sobre a actual gestão/regulamentação das pescas
point7,"Identificação (através de cartografia) de importantes zonas de pesca, habitats e locais de desembarque"
ta,Público-Alvo
p3,"10-20 informantes-chave na comunidade, nomeadamente líderes comunitários, pescadores respeitados, comerciantes de peixe e mulheres."
ft,Frequência e temporização
p4,"Quando se inicia o trabalho numa nova comunidade de pescadores, a realização do inquérito comunitário sobre a definição de perfis e do exercício inicial de definição de perfis fornece dados de base e informações relevantes para conceber os esforços de conservação e de gestão mais adequados para a comunidade. A repetição do inquérito comunitário sobre a definição de perfis pode ajudar a documentar alterações significativas ocorridas ao longo do tempo."
method,Metodologia
p5,"As informações podem ser recolhidas através de inquéritos de terceiros (ou seja, recenseamento, registos do Departamento de pesca, etc.), grupos focais constituídos por 10-20 membros-chave da comunidade ou informantes-chave. Os líderes comunitários, bem como uma variedade de pescadores e comerciantes de peixe conhecedores e diversificados (incluindo mulheres e jovens) seriam os participantes ideais para incluir no grupo focal. Para facilitar os grupos focais, recomenda-se ter, no mínimo, um facilitador e um anotador. No grupo focal, recomenda-se igualmente que os participantes forneçam uma lista de informações de contacto para os pescadores da comunidade que possam ser contactados para administrar os inquéritos domiciliários. Se não for possível realizar o inquérito comunitário sobre a definição de perfis num formato de grupo focal, uma alternativa é administrar as mesmas perguntas que os inquéritos individuais com informantes-chave e agrupar as respostas. As perguntas incluídas no inquérito comunitário sobre a definição de perfis e as recomendações para a realização de discussões em grupos focais podem ser consultadas no Apêndice A que se segue."
lms,Inquérito De Acompanhamento Dos Desembarques
p6,"Capturar os principais dados necessários para calcular indicadores simples de saúde da pesca baseados na duração e para acompanhar as alterações na produção, valor e composição da pesca."
point8,Data de desembarque
point9,Local de aterragem
point10,Designação do comerciante de peixe
point11,Nome do Pescador
point12,Esforço de pesca (dias de pesca / recolha)
point13,"Identidade das espécies (nomes locais, comuns, científicos)"
point14,Contagem Total
point15,Peso Total
point16,Preço Total
point17,"Motivo total das capturas não vendidas, se aplicável"
p7,Pescadores à medida que desembarcam as suas capturas ou numa casa/mercado de compradores de peixe.
p8,"O Inquérito de monitorização dos desembarques deve ser realizado diariamente ou com a maior frequência possível. Realizar inquéritos de acompanhamento dos desembarques antes e depois da execução, a fim de avaliar os efeitos dos encerramentos das pescas ou de outras estratégias de gestão. Recomendamos a recolha de Dados 30 dias antes e após os períodos de encerramento temporário. Para os primeiros sete dias dos períodos de amostragem, recomendamos que os enumeradores realizem diariamente inquéritos de monitorização dos desembarques. Se possível, continue a monitorização diária durante todo o período de 30 dias. Se isso não for possível, examine pelo menos 80% dos dias em cada 30 dias. Recomenda-se igualmente que se efectue um levantamento de 80% ou mais de todos os pescadores que desembarcam nas capturas num determinado dia antes ou depois do encerramento. Distribuir esforços representativos de inquérito entre pescadores de barco e não pescadores de barco. Recolher dados de todos os pescadores que desembarcam na aldeia, independentemente de estarem ou não a pescar no local de encerramento."
p9,"No caso de encerramentos a mais longo prazo, assegurar que os dados são recolhidos durante o mesmo mês para cada ano, a fim de captar as alterações ao longo do período de encerramento. Se isso não for viável, recomendamos a recolha de dados durante o mesmo mês antes e depois do encerramento. Tal como acima referido, recomendamos que efectue um levantamento de pelo menos 80% do dia durante o mês e 80% dos pescadores que desembarcam em cada dia."
p10,"Através do formulário Kobo, encontre-se com os pescadores nos locais de desembarque/casas de compradores para registar as suas capturas."
lps,Levantamento De Perfis De Desembarques
p11,Compreender as tendências de captura observadas.
point18,Data de desembarque
point19,Local de aterragem
point20,Campo de pesca primário
point21,Designação do comerciante de peixe
point22,Nome do Pescador
point23,Esforço de pesca (horas e dias de pesca / recolha)
point24,"Tipo de navio (número de matrícula do barco, número de tripulação)"
point25,"Identidade das espécies (nomes locais, comuns, científicos)"
point26,Artes utilizadas
point27,Habitat pescado
point28,Contagem Total
point29,Peso Total
point30,Preço Total
point31,"Motivo total das capturas não vendidas, se aplicável"
point32,Amostras de pesos e comprimentos individuais (figuras 2-8)
point33,"Dados amostrais específicos dos parceiros (Sexo, qualidade das capturas, gónadas, estilete, # armadilhas, etc.)"
p12,"Uma amostra representativa das capturas na comunidade. Registar pelo menos 50 amostras (idealmente 100) para cada espécie-alvo, representando vários tipos de artes e perfis de pescadores."
p13,"Este inquérito deve ser realizado inicialmente no início do envolvimento numa comunidade e subsequentemente realizado de um a dois anos, antes e depois da implementação da estratégia de gestão, ou conforme necessário para explicar os declínios observados através de dados de monitorização. Através do formulário Kobo, reunir-se com os pescadores nos locais de desembarque para amostrar as suas capturas e registar a sua actividade de pesca."
p14,"Através do formulário Kobo, reunir-se com os pescadores nos locais de desembarque para amostrar as suas capturas e registar a sua actividade de pesca."
ms,Normalização da medição: Tipo de comprimento a medir por grupo de espécies
fig2,"Figura 2: o comprimento Total deve ser utilizado para medir peixes-barbatanas, tubarões e enguias (AFS)."
fig3,Figura 3: a largura do disco deve ser utilizada para medir arraias e raias.
fig4,"Figura 4: a largura da carapaça deve ser utilizada na medição do Caranguejo (Suryandari et. al, 2018)."
