key,tet
title,Matadalan ba Kolesaun Dadus Peska nian
subtitle,Matadalan ida ba administrasaun peskiza atu hetan dadus peska nian
intro,Introdusaun
p1,"Dokumentu ida-ne'e fó orientasaun no rekomendasaun ba administrasaun instrumentu peskiza tolu atu kaptura informasaun kona-ba komunidade peska no peska ne'ebé sira depende ba (Figura 1). Peskiza sira-ne'e dezeña atu aliña konteúdu ho oinsá dadus sira-ne'e sei uza no frekuénsia mudansa ne'ebé hein hela. Peskiza nivel aas liu, Komunidade Profiling, iha pergunta sira ne'ebé ajuda atu harii kompriensaun di'ak liu kona-ba atividade peska iha komunidade no kondisaun sosio-ekonomiku. Komprende paizajen sosio-ekonomiku ne'e importante liu-liu bainhira servisu hahú uluk iha komunidade. Informasaun ne'ebé halibur durante levantamentu ne'e esensiál tebes ba dezeñu estratéjia envolvimentu komunidade nian no planu amostra dadus. Peskiza kona-ba rai-nakdoko no monitorizasaun halibur dadus kona-ba rai-nakdoko husi peska. Dadus kona-ba rai-nakdoko sira-ne'e halibur dadus ne'ebé ladún dala barak no kaptura informasaun kona-ba peska nia hela-fatin, tipu sasán, esforsu, no naruk ikan ida-idak nian. Peskiza kona-ba Monitorizasaun Rai, ne'ebé idealmente hala'o loron-loron, mak peskiza peska ida-ne'ebé lalais hodi halibur informasaun mínimu ne'ebé presiza hodi halo monitorizasaun ba volume kapturasaun no mudansa valór, hanesan espésie, todan, konta no folin."
fig1,Figura 1: Timeline atu administra instrumentu peskiza tolu ne'ebé diferente iha eskala tinan ida.
survey,Detallu levantamentu
cps,Peskiza Profiling Komunidade
goal,Objetivu
p2,Komprende paizajen jerál komunidade nian no peska ne'ebé hala'o iha komunidade laran.
dc,Dadus Koletadu
point1,"Númeru membru komunidade, peskadór, komersiante ikan, feto"
point2,Paizajen jerál peska nian ne'ebé hala'o iha komunidade laran
point3,Uza sasán; espésie alvu; habitat peskadu; tempu; ro
point4,Informasaun kona-ba esforsu peska no kustu
point5,"Persepsaun kona-ba kondisaun peska no habitat, ameasa"
point6,Informasaun kona-ba jestaun/regulasaun peska atuál
point7,"Identifikasaun (liu husi mapa) kona-ba baze peska importante, habitat, fatin rai-maran"
ta,Audensia alvu
p3,"10-20 informante xave sira iha komunidade laran, hanesan lider komunitáriu sira, peskadór sira ne'ebé respeitu, komersiante ikan, no feto sira."
ft,Frekuénsia no Timing
p4,"Bainhira hahú servisu iha komunidade peska foun, hala'o Peskiza Profiling Komunidade no ezersísiu perfíl inisiál fornese dadus baze no informasaun relevante sira atu dezeña esforsu konservasaun no jestaun ne'ebé apropriadu liu ba komunidade. Repete fali Peskiza Profiling Komunidade bele ajuda dokumentasaun mudansa signifikante ne'ebé akontese iha tempu ne'ebá."
method,Metodolojia
p5,"Informasaun bele halibur liu husi peskiza terseiru parte (hanesan sensu, rejistu departamentu peska, etc), grupu fokus ne'ebé kompostu husi membru komunidade xave 10-20 ka informante xave sira. Lider komunitáriu sira no mós peskadór oioin ne'ebé iha koñesimentu no ikan oioin (inklui feto no joven sira) mak partisipante ideál sira ne'ebé bele inklui iha grupu fokus. Atu fasilita grupu fokus sira, rekomenda atu iha, pelumenus, fasilitadór ida no nota-nain ida. Iha grupu fokus, rekomenda mós atu iha partisipante sira atu fornese lista informasaun kontaktu ba peskadór sira iha komunidade ne'ebé bele hetan kontaktu hodi administra Peskiza Uma-kain. Karik la konsege hala'o Peskiza Profiling Komunidade iha formatu grupu fokus, alternativa ida mak atu administra pergunta sira hanesan ho peskiza individuál ho informante xave sira no hato'o resposta sira. Pergunta sira ne'ebé inklui iha peskiza perfíl komunidade nian no rekomendasaun sira ba diskusaun grupu fokus hala'o nian bele hetan iha Apendise A iha kraik."
lms,Peskiza Monitorizasaun Rai-Nabeen
p6,"Kaptura dadus xave sira ne'ebé presiza atu kalkula indikadór sira ne'ebé bazeia ba naruk simples kona-ba saúde peska no atu halo monitorizasaun ba mudansa sira iha produsaun peska, valór no kompozisaun peska."
point8,Data to'o mai
point9,Fatin ba rai
point10,Naran negosiante ikan
point11,Naran peskadór
point12,Esforsu Peska (loron peska)
point13,"Identidade espésie (lokál, naran komún, sientifika)"
point14,Totál konta
point15,Totál todan
point16,Totál folin
point17,"Razaun totál kaer la fa'an, karik aplikavel"
p7,Peskadór sira bainhira sira rai sira-nia kaer ka iha sosa ikan nia uma/ merkadu.
