key,mg
title,Torolalana Momba Ny Fananganana Kobocollect
step1,"Mangala KoboCollect avy amin'ny ""GooglePlay""."
step2,"Sokafy ny fampiharana kobocolllect, ary safidio ny ""Manually enter project details.""Azo jerena eto ny toromarika momba ny fametrahana amin'ny alalan'ny kaody QR."
step3,Amboary ny fifandraisana mpizara ary ampidiro ny mari-pahafantarana fidirana. Ampiasao ny mpizara ankapobeny: https://kc.kobotoolbox.org
step4,"Raha efa manana kobo alaina ianao, ary te hanampy kaonty hafa amin'ny fampiharana, safidio ny kisary mpampiasa anao eo amin'ny zoro ambony havanana amin'ny efijery. Safidio Ny "" Add Project.""Avy eo, azonao atao ny mampiditra ny antsipirian'ny tetikasa, na mampiasa kaody QR."
step5,"Aorian'ny fametrahana ny mpizara dia safidio ny ""download form"" avy amin'ny efijery. Tokony hiseho ny lisitry ny endrika fanadihadiana rehetra zaraina amin'ny kaontinao."
step6,"Safidio ny endrika fanadihadiana rehetra zaraina amin'ny kaontinao, na safidio ireo tianao hananana amin'ny fisafidianana azy ireo amin'ny tanana. Avy eo, tsindrio ""Get Selected.""Hifandray amin'ny mpizara i kobo avy eo mba haka ny endrika rehetra. Mitaky fifandraisana aterineto izany."
step7,"Amboary ny"" auto-update "" mba hahazoana antoka fa ny fanadihadiana ao amin'ny fampiharana dia mijanona ho vaovao rehefa misy fiovana (dingana 8-13). Raha tsy ampiasaina ny endrika farany indrindra amin'ny fanadihadiana, dia hiteraka olana eo amin'ny fantsom-pifandraisana sy ny tahiry izany."
step8,Tsindrio ny kisary mpampiasa anao eo amin'ny zoro ambony havanana.
step9,"Tsindrio eo amin'ny ""settings""."
step10,"Raha vao tonga any, tsindrio ny "" Form Management."""
step11,"Avy eo, tsindrio ny ""blank form update mode."""
step12,"Safidio Ny "" Exactly match server.""Izany dia hiantoka ny fanavaozana ny fanadihadiana amin'ny dikan-teny farany indrindra."
step13,"Farany, safidio ny"" Automatic update frequency "" ary safidio ny iray amin'ireo fiverenana."
step14,"Miverena any amin'ny efijery. Mba hanangonana antotan'isa, safidio ny ""Start new form."""
step15,"Avy eo, safidio ny endrika fanadihadiana tianao hampiasaina hanombohana manangona angona."
step16,"Mandalova amin'ny fanontaniana rehetra amin'ny fanadihadiana amin'ny alalan'ny fikitihana ""NEXT""."
step17,"Amin'ny faran'ny fanadihadiana, safidio ny ""Finalize.""Raha te hanova ny endrika alohan'ny handefasana ianao dia safidio Ny"" Save as draft."""
step18,"Raha nisafidy ny ""Save as draft"" ianao, dia halefa any amin'ny ""Drafts"" ny endrikao.""Eto ianao dia afaka manova endrika alohan'ny handefasanao azy ireo amin'ny antotan'isa farany. Rehefa avy nanao fanovana ianao dia safidio ny ""Finalize"", toy ny amin'ny dingana 17."
step19,"Aorian'ny fisafidianana ny"" Finalize"", ny endrika dia voatahiry ho Azy eo ambanin'ny "" Ready to send.""Ao amin'ny dika mitovy ny kobo ankehitriny, mbola afaka manova endrika eto ianao. Amin'ny ho avy anefa dia tsy ho afaka hanova ianao raha vantany vao vita izy ireo, ary Ny ""Ready to send"" dia ho toerana fitehirizana ireo endrika vita mandra-pahazoanao fifandraisana aterineto handefasana azy ireo any amin'ny mpizara."
step20,"Safidio ny"" Send selected "" handefasana ny endrika rehetra amin'ny mpizara."
step21,"Mba hahazoana antoka fa tafakatra soa aman-tsara any amin'ny mpizara ireo endrika, safidio Ny ""Sent.""Ireo endrika ireo dia ampahany amin'ny angon-drakitra farany."
