key,sw
title,Mwongozo wa kuanzisha KoboCollect
step1,Pakua KoboCollect kutoka kwenye  GooglePlay
step2,"Fungua programu, kisha chagua ""Ingiza maelezo ya mradi kwa kubonyeza."" Maelekezo ya jinsi ya kuanzisha kupitia QR code yanapatikana hapa"
step3,Sajili muunganisho wa seva na uweke maelezo ya kuingia. Tumia seva kuu: https://kc.kobotoolbox.org
step4,"Ikiwa tayari umepakua Kobo na unataka kuongeza akaunti nyingine kwenye programu, chagua ikoni ya mtumiaji wako kwenye kona ya juu kulia ya skrini. Chagua ""Ongeza Mradi."" Kutoka hapo, unaweza kuingiza maelezo ya mradi kwa kubonyeza, au kutumia msimbo wa QR"
step5,"Baada ya kusjili seva, chagua ""Pakua fomu"" kutoka skrini ya kwanza. Orodha ya fomu zote za utafiti zilizoshirikiwa na akaunti yako zinapaswa kuonekana."
step6,"Chagua fomu zote za utafiti zilizoshirikishwa na akaunti yako, au chagua zile unazotaka kuwa nazo kwa kuzichagua wewe mwenyewe. Kisha, bofya "" Chagua.""Kobo kisha kuungana na server kupata aina zote. Hii inahitaji muunganisho wa mtandao."
step7,"Hakikisha ""sasisho otomatiki"" imewashwa ili kuhakikisha tafiti katika programu zinabaki kuwa sahihi wakati mabadiliko yanafanywa (hatua 8-13). Ikiwa toleo la hivi karibuni la utafiti halitatumiki, hii itasababisha matatizo kwenye bomba la data na hifadhidata."
step8,Bofya kwenye ikoni ya mtumiaji wako kwenye kona ya juu kulia.
step9,Bofya kwenye mipangilio.
step10,"Mara baada ya kuwa hapo, bonyeza "" Usimamizi Wa Fomu."""
step11,"Kisha, bonyeza "" hali ya sasisho la fomu Tupu."""
step12,"Chagua ""Sawa na seva."" Hii itahakikisha kwamba uchunguzi umesasishwa hadi toleo la hivi karibuni."
step13,"Mwisho, chagua ""Mara ngapi sasisho otomatiki itakuwa ikifanyika"" kisha uchague mojawapo ya mapendekezo."
step14,"Nenda nyuma kwenye skrini ya kwanza. Ili kukusanya takwimu, chagua "" Anza fomu mpya."""
step15,"Kisha, chagua fomu ya utafiti ambayo unataka kutumia kuanza kukusanya takwimu."
step16,Pitia maswali yote katika utafiti kwa kufinya kitufe cha kuzonga mbele.
step17,"Mwisho wa utafiti, chagua "" Maliza.""Ikiwa unataka kuhariri fomu kabla ya kuwasilisha, chagua"" Hifadhi kama rasimu."""
step18,"Ikiwa umechagua ""Hifadhi kama rasimu,"" fomu yako itatumwa kwa ""Rasimu."" Hapa, unaweza kufanya marekebisho kwenye fomu kabla ya kuwasilisha kwa seti ya mwisho ya takwimu. Baada ya kufanya mabadiliko, chagua ""Maliza,"" kama kwenye hatua ya 17"
step19,"Baada ya kuchagua ""Maliza,"" fomu hiyo huhifadhiwa kiotomatiki kwenye ""Tayari kutuma."" Katika toleo la sasa la Kobo, bado unaweza kuhariri fomu hapa. Hata hivyo, katika siku zijazo, utaweza kuhariri fomu mara tu baada ya kuhitimishwa, na ""Tayari kutuma"" itakuwa sehemu tu ya kuhifadhi fomu zilizomalizwa hadi uwe na muunganisho wa intaneti ili kuzituma kwenye seva."
step20,"Chagua ""Tuma zilizochaguliwa"" kutuma fomu zote kwenye seva"
step21,"Ili kuhakikisha fomu zimefanikiwa kupakiwa kwa kwenye seva, chagua ""Zilizotumwa."" Fomu hizi sasa ni sehemu ya seti ya mwisho ya takwimu."
