key,tet
title,Matadalan Setup KoboCollect
step1,Download KoboCollect husi loja Google Play.
step2,"Loke aplikasaun ne'e, no hili ""Husik hatama informasaun kona-ba projetu."" Instrusaun kona-ba estabelesimentu liuhosi kódigu QR bele hetan iha ne'e."
step3,Estabelese koneksaun ba server no tama iha kredensiál login. Uza servisu jerál: https://kc.kobotoolbox.org
step4,"Se ita download tiha ona Kobo, no hakarak aumenta konta seluk ba aplikasaun, hili ita-nia ikona utilizadór iha ekrena nia sorin loos leten. Hili ""Projetu Add."" Husi ne'ebá, ita bele hatama manualmente detalle projetu nian, ka uza kódigu QR."
step5,"Bainhira ha'u halo tiha serbisu-nain ne'e, haree fali formuláriu ida husi telemovel. Lista formuláriu levantamentu hotu-hotu ne'ebé fahe ho ita-nia konta tenke hatudu."
step6,"Hili formuláriu levantamentu hotu-hotu ne'ebé fahe ho ita-nia konta, ka hili formuláriu sira ne'ebé ita hakarak iha hodi hili manualmente. Tuirmai, klike iha ""Haree didi'ak"". Tuirmai Kobo sei liga ba server hodi kaer formuláriu hotu. Ida-ne'e presiza ligasaun internét."
step7,"Estabelese ""atualizasaun auto-atual"" atu asegura levantamentu iha aplikasaun ne'e to'o ohin loron bainhira halo mudansa (pasu 8-13). Se versaun ida-ne'ebé foin lalais liu husi levantamentu ne'e la uza, ida-ne'e sei hamosu problema iha kadoras dadus no baze dadus."
step8,Klike iha imi-nia ikona utilizadór iha parte loos leten.
step9,Klike iha instalasaun sira.
step10,"Dala ida iha ne'ebá, klike iha ""Jestaun Forma""."
step11,"Tuirmai, klike iha ""Blanka forma atualizasaun."""
step12,"Hili ""Iha dalan ne'ebé loos mak hanesan ho serbisu-nain."" Ida ne'e sei asegura katak levantamentu ne'e atualiza ba versaun foin lalais."
step13,"Ikusliu, hili ""frekuénsia atualizasaun automatika"" no hili frekuénsia ida."
step14,"Haree fali ba telemovel uma-laran. Atu halibur dadus, hili formuláriu foun."
step15,"Tuirmai, hili formuláriu levantamentu ne'ebé ita hakarak uza atu hahú halibur dadus."
step16,Haree pergunta hotu iha levantamentu hodi hili xave NEXT.
step17,"Iha livru ne'e nia rohan, hili ""Finaliza"". Se Ita hakarak atu hakerek formuláriu antes haruka, hili ""Salva hanesan esbosu."""
step18,"Se Ita hili atu hakerek livru ""Salva hanesan esbosu"", Ita sei haruka Ita-nia formuláriu ba ""Drafts"". Iha ne'e, ita bele halo edisaun ba formuláriu sira molok ita hatama ba dadus finál. Bainhira Ita troka tiha, hili ""Halo hotu tiha,"" hanesan iha pasu 17."
step19,"Bainhira ha'u hili tiha ona ""Finanlizasaun"", ida-ne'e sei halo tuir ""Ready atu haruka."" Iha versaun atuál Kobo nian, ita sei bele edita formuláriu sira iha ne'e. Maibé iha futuru, ita sei la bele edita bainhira sira remata tiha, no ""Ready atu haruka"" sei sai de'it fatin atu rai formuláriu sira ne'ebé remata tiha ona to'o ita iha ligasaun ba internét hodi haruka ba ita-nia servisu."
step20,"Hili ""Haruka selesionadu"" atu haruka formuláriu hotu-hotu ba server."
step21,"Atu bele haree katak formuláriu sira-ne'e bele uza ho didi'ak ba serbisu-nain, hili ""Sentu"". Formuláriu hirak-ne'e agora sai parte ida husi dadus finál."
