key,es
subtitle1,Información general
q1,País
q2,Organización
q3,El administrador 1 aterrizó
q4,El administrador 2 aterrizó
q5,El administrador 3 aterrizó
q6,Nombre del recopilador de datos
a1,*Nuevo nombre del recopilador de datos*
q7,Fecha de aterrizaje
subtitle2,Información de captura por Fisher
q8,Nombre del pescador
a2,*Nuevo nombre de pescador*
q9,*Género del pescador*
q10,¿Vive el pescador en ${admin3_label}?
q11,Administrador 1 de donde es Fisher:
q12,Administrador 2 de donde es Fisher:
q13,Administrador 3 de donde es Fisher:
q14,¿Cuántas horas al día estuvo pescando o recogiendo activamente? (sin incluir el tiempo de viaje)
q15,¿Cuántos días estuvo pescando o recogiendo activamente? (sin incluir el tiempo de viaje)
q16,Nombre del sitio de aterrizaje
a8.9,*Nuevo nombre del sitio de aterrizaje*
q17,Zona de pesca primaria
a9,*Nuevo nombre del caladero*
q18,Nombre del comprador (si se conoce)
a10,*Nombre del nuevo comprador*
q19,*Género del comprador*
subtitle3,Información del barco
q20,Tipo de embarcación:
q21,Número de matrícula del barco (opcional):
q22,Número de tripulantes de pesca en el mismo barco
q23,¿Es ${fisher_id_label} ${fisher_name_new} el capitán?
q24,"Seleccione los demás pescadores del barco, SIN incluir al pescador principal ${fisher_id_label}: ${fisher_name_new}"
q25,Por favor especifique el nuevo nombre del pescador:
q26,Por favor seleccione el capitán:
q27,¿Se registra la captura completa del barco o la parte ${fisher_id_label} de la captura?
subtitle4,Especies desembarcadas por ${fisher_id_label}
q28,
q29,"Nombre local de la especie (use la tarjeta de referencia de especies, si es necesario)"
a19,Por favor especifique las especies en bolsa mixta (seleccione varias)
q30,*Nueva especie: grupo de especies*
a18,*Nombre local de la nueva especie*
q31,*Nombre común en inglés de la nueva especie (si se conoce)*
q32,*Nombre científico de la familia de la nueva especie (si se conoce)*
q33,*Nueva especie Nombre científico de la especie (si se conoce)*
q34,*Agregar foto de nuevas especies.*
q35,Nombre local del equipo
q36,¿A través de qué método usas la lanza?
q37,¿Cuántas trampas pusiste/instalaste?
q38,Tipo de hábitat pescado
q39,
q40,Describa la captura incidental u otras especies capturadas.
q41,Tiempo de fraguado (horas)
q42,¿Usas cebo?
q43,Cebo utilizado (tipo/especie):
q44,Peso del cebo/alimento (kg)
subtitle5,Información de especies
q45,Todas las especies
q46,Unidad de peso de captura
q48,Recuento total de capturas
q50,
q51,"Precio total de la captura vendida, moneda local (estimada o real)"
q52,Motivo de la captura total no comprada/vendida
subtitle6,Muestras (${calc_local_name})
q53,Unidad de peso de captura
q54,Numero total
q56,¿Cuántas muestras estás recolectando de esta especie?
q57,Unidad de peso para muestras individuales
q58,**Muestra 1:**
q60,*Ancho (cm)*
q61,*Longitud del manto (cm)*
q62,*Longitud del caparazón (cm)*
q63,*Ancho de caparazón (cm)*
q64,*Longitud total individual (cm)*
q67,**Muestra 10:**
subtitle7,Muestras (${calc_local_name})
q67.5,"Además de los datos de longitud, ¿qué otros datos está recopilando?"
q68,¿Cuántas muestras estás recolectando de esta especie?
q69,Unidad de peso para muestras individuales
q70,**Muestra 1:**
q59,*Sexo*
q71,*Ancho (cm)*
q72,*Longitud del manto (cm)*
q73,*Longitud del caparazón (cm)*
q74,*Ancho de caparazón (cm)*
q75,*Longitud total individual (cm)*
q76,*Peso individual (${weight_unit_samples})*
q77,*Etapa de madurez de las gónadas*
q78,Calidad de captura
q79,¿Se utilizó hielo para el almacenamiento?
q79.5,Temperatura del pulpo (Celsius)
q80,Utilice la tarjeta de colores para determinar el valor cuantitativo del color del pulpo en una escala del 1 al 5.
q81,Número de tentáculos
q82,¿Abrasiones físicas?
q83,Porcentaje (%) de la superficie del pulpo con abrasiones.
q84,Pico
q85,Piel
q86,Calidad de captura
q87,¿Sigue vivo el cangrejo?
q88,¿Los ojos y el cuerpo reaccionan al tacto?
q89,¿Están los ojos intactos?
q90,¿Están las garras intactas?
q91,¿Cuántas piernas están rotas?
q92,¿El cangrejo echa espuma por la boca?
q93,Góndolas
q94,Peso de la gónada (g)
q95,color de la gónada
q96,Etapa de la gónada
