key,fil
subtitle1,Pangkalahatang Impormasyon
q1,Bansa
q2,Asosasyon
q3,Probinsyang datingan
q4,Municipio datingan
q5,Barangay na datingan
q6,Pangalan ng data kolektor
a1,*Bagong pangalan ng data kolektor*
q7,Pitsa kung kailan dadating
subtitle2,Impormasyong huli ng mangingisda
q8,Pangalan ng mangingisda
a2,*Bagong Pangalan ng mangingisda*
q9,*Kasarian ng mangingisda*
q10,Nagpuyo ba ang mananagat sa ${admin3_label}?
q11,Lalawigan kung saan nagmula ang mangingisda:
q12,Distrito kung saan nagmula ang mangingisda:
q13,Nayon kung saan nagmula ang mangingisda:
q14,Ilang oras sa isang araw kayong nangingisda o namumulot? (Hindi kasama sa oras ang byahe)
q15,Ilang araw kayong aktibong mangisda (hindi kasama ang oras ng pag byahe)
q16,Pangalan ng lugar kung saan darating
a8.9,*Bagong pangalan ng lugar kung saan darating*
q17,Unang lugar na pangisdaan
a9,*Pangalan sa lugar na pangisdaan*
q18,Pangalan ng mamimili (kilala)
a10,*Bago pangalan ng mamimili*
q19,*Kasarian ng mamimili*
subtitle3,Impormasyon sa sakayan
q20,Klase ng barkong pangisdaan
q21,Rehistrong numero sa bangka (optional):
q22,Biang ng mga trepulante ng mangingisda sakay sa parehong bangka
q23,Si ${mangingisda_id_label} ${bagong_pangalan_ng mangisngisda} ang kapitan
q24,"Mangyaring piliin ang iba pang mangingisda sa barko, HINDI kasama ang pangunahing mangingisda ${mangingisda_id_label}: ${bagong_pangalan_ng mangingisda}"
q25,Mangyaring tukuyin ang bagong pangalan ng mangingisda:
q26,Mangyaring piliin ang kapitan:
q27,Ang huli ba ay naitala ang buong huli mula sa bangka o ${fisher_id_label} bahagi ng huli?
subtitle4,Uri ng mga isda na dumarating ${fisher_id_label}
q28,Klase sa kuha
q29,Lokal na pangalan ng Uri ( Gamit ang sanggunian kard kung kailangan)
a19,Mangyaring tukuyin ang mga espisye sa magkahalong bag (pumili ng maramihan)
q30,*Bagong Espisye: Grupo ng mga espisye*
a18,*Bagong uri sa lokal na pangalan ( kung Alam)*
q31,*Bagong uri sa karaniwang pangalan sa Ingles (kung alam)*
q32,*Bagong uri sa siyentipikong pangalan ng pamilya (kung alam)*
q33,*Bagong uri sa siyentipiko uring pangalan (kung alam)*
q34,*Magdagdag ng larawan kung merong bago*
q35,Lokal na pangalan ng mga gamit
q36,Sa anong pamaraan ginagamit ang gear na ito (Pana)?
q37,Ilang bitag ang iyong itinakda/na-install?
q38,Uri ng tirahan ng pangisdaan
q39,Mangisda ka ba panahon sa dakong-dagat o panahon sa aya-ay?
q40,"Pakilarawan ang hindi na inaasahang mahuli, o iba pang espyises na nahuli."
q41,Pagtatakda ng oras (Oras)
q42,Gumagamit ka ba ng pain?
q43,Ginamit na pain (uri/espyises AT buhay o patay):
q44,Timbang ng pain/pagkain (kg)
subtitle5,Uri ng mga impormasyon
q45,Lahat na espisye
q46,Bigat ng bawat huli
q48,Kabuuang bilang ng huli
q50,Giproseso ba nimo kini nga kuha?
q51,"Kabuuang presyo na naibinta, lokal na pera (tinatansya o aktuwal)"
q52,Dahilan kung bakit hindi naibinta ang mga huli
subtitle6,Mga sample (${calc_local_name})
q53,Bigat ng bawat huli
q54,Kabuuang bilang
q56,Ilang sample ang kinokolekta mo para sa espisye na ito?
q57,Yunit ng timbang para sa mga indibidwal na halimbawa
q58,**Halimabawa 1:**
q60,*Gilapdon (cm)*
q61,*Haba ng sapin (cm)*
q62,*Haba ng kabibi (cm)*
q63,*Lapad ng kabibi (cm)*
q64,*Sukat ng bawat isa/Kabuuang haba (cm)*
q67,**Halimabawa 10:**
subtitle7,Mga sample (${calc_local_name})
q67.5,"Bilang karagdagan sa haba ng data, ano pang data ang iyong kinokolekta?"
q68,Ilang sample ang nakolekta mo?
q69,Unit ng timbang para sa mga indibidwal na halimbawa
q70,**Halimabawa 1:**
q59,*Kasarian*
q71,*Gilapdon (cm)*
q72,*Haba ng sapin (cm)*
q73,*Haba ng kabibi (cm)*
q74,*Lapad ng kabibi (cm)*
q75,*Sukat ng bawat isa/Kabuuang haba (cm)*
q76,*Bigat ng bawat isa (${weight_unit_samples})*
q77,*Yugto ng kapanahonan ng itlog:*
q78,Kalidad ng mga huli
q79,Yelo ang gamit para sa pag-iibak?
q79.5,Temperatura ng Pugita (Celsius)
q80,Gamitin ang kulay ng kard para matukoy ang dami at halaga ng pugita sa sukat na isa hanggang lima 1-5
q81,Bilang ng mga galamay
q82,Pisikal na gasgas
q83,Porsyento sa ibabaw ng Pugita na may mga gasgas
q84,Tuka
q85,Balat
q86,Kalidad ng mga huli
