key,fr
subtitle1,Informations générales
q1,Pays
q2,Organisation
q3,Région
q4,Département
q5,Commune/village
q6,Nom du collecteur de données
a1,*Nom du nouveau collecteur de données*
q7,Date d'arrivée
subtitle2,Informations sur les captures par pêcheur
q8,Nom du pêcheur
a2,*Nouveau nom de pêcheur*
q9,*Sexe du pêcheur*
q10,Le pêcheur vit-il ici ${admin3_label} ?
q11,Administrateur 1 d'où vient Fisher :
q12,Administrateur 2 d'où vient Fisher :
q13,Administrateur 3 d'où vient Fisher :
q14,Combien d'heures par jour avez-vous passé à pêcher ? (sans compter le temps de déplacement)
q15,Pendant combien de jours avez-vous pêché activement ? (hors temps de trajet)
q16,Nom du site de débarquement
a8.9,*Nouveau nom de débarquement*
q17,Zone de pêche principal
a9,*Nouveau nom du lieu de pêche*
q18,Nom de l'acheteur (si connu)
a10,*Nouveau nom de l'acheteur*
q19,*Sexe de l'acheteur*
subtitle3,Informations sur le navire
q20,Type de navire :
q21,Numéro d'immatriculation du bateau (facultatif) :
q22,Nombre d'équipages de pêche sur le même bateau
q23,Le capitaine est-il ${fisher_id_label} ${fisher_name_new} ?
q24,"Veuillez sélectionner les autres pêcheurs du navire, à l'exclusion du pêcheur principal ${fisher_id_label}: ${fisher_name_new}"
q25,Veuillez indiquer le nouveau nom du pêcheur :
q26,Veuillez sélectionner le capitaine :
q27,La capture enregistrée correspond-elle à la totalité de la capture du bateau ou à la part de ${fisher_id_label} de la capture ?
subtitle4,Espèces débarquées par ${fisher_id_label}
q28,Type de capture
q29,"Nom local de l'espèce (utiliser la carte de référence de l'espèce, si nécessaire)"
a19,Veuillez préciser les espèces dans le sac mélangé (sélectionnez-en plusieurs)
q30,*Nouvelle espèce : Groupe d'espèces*
a18,*Nom local de la nouvelle espèce*
q31,*Nom commun anglais de la nouvelle espèce (si connu)*
q32,*Nom de famille scientifique de la nouvelle espèce (si connu)*
q33,*Nom scientifique de l'espèce nouvelle (si connu)*
q34,*Ajouter une photo des nouvelles espèces.*
q35,Nom local de l'équipement
q36,Par quelle méthode utilisez-vous la lance ?
q37,Combien de pièges avez-vous posés/installés ?
q38,Type d'habitat pêché
q39,Est-ce pendant la marée de printemps ou la marée de mortes-eaux ?
q40,Veuillez décrire les prises accessoires ou les autres espèces capturées.
q41,Temps de prise (heures)
q42,Utilisez-vous des appâts ?
q43,Appât utilisé (type/espèce) :
q44,Poids de l'appât/aliment (kg)
subtitle5,Informations sur les espèces
q45,Toutes les espèces
q46,Unité de poids de capture
q48,Nombre total de captures
q50,Traitez-vous cette prise ?
q51,"Prix total des captures vendues, monnaie locale (estimée ou réelle) : ${local_name_label}"
q52,Raison pour laquelle les captures totales n'ont pas été achetées/vendues
subtitle6,Échantillons (${calc_local_name})
q53,Unité de poids de capture
q54,Nombre total
q56,Combien d’échantillons prélevez-vous pour cette espèce ?
q57,Unité de poids pour les échantillons individuels
q58,**Echantillon 1 :**
q60,*Largeur (cm)*
q61,*Longueur du manteau (cm)*
q62,*Longueur de la carapace (cm)*
q63,*Largeur de la carapace (cm)*
q64,*Longueur totale individuelle (cm)*
q67,**Echantillon 10 :**
subtitle7,Échantillons (${calc_local_name})
q67.5,"En plus des données de longueur, quelles autres données collectez-vous ?"
q68,Combien d’échantillons collectez-vous ?
q69,Unité de poids pour les échantillons individuels
q70,**Echantillon 1 :**
q59,*Sexe*
q71,*Largeur (cm)*
q72,*Longueur du manteau (cm)*
