key,mg
subtitle1,Mikasika ny seranana
q1,Firenena
q2,Fikambanana
q3,Faritany
q4,Kaominina
q5,Tanàna
q6,Mpangala antontan'isa
a1,*Mpangala antontan'isa vaovao*
q7,Daty
subtitle2,Mikasika ny vokatra
q8,Mpanjono
a2,*Mpanjono vaovao*
q9,*Lahy sa vavy (mpanjono)*
q10,Mipetraka eto ${admin3_label}?
q11,Avy aiza ny mpanjono: Faritany
q12,Avy aiza ny mpanjono: Kaominina
q13,Avy aiza ny mpanjono: Tanàna
q14,Ora niasana (tsy ampidirina ao ny fotoana lany teny an-dakana)
q15,Andro niasana (tsy ampidirina ao ny fotoana lany teny an-dakana)
q16,Toerana ahatongavan'ny vokatra
a8.9,*Toerana vaovao nahatongavan'ny vokatra*
q17,Faritra fanjonoana
a9,*Faritra fanjonoana vaovao*
q18,Mpividy vokatra (raha fantatra)
a10,*Mpividy vaovao*
q19,*Lahy sa vavy (mpividy)*
subtitle3,Mikasika ny lakana
q20,Karazana lakana
q21,Laharan'ny lakana (afaka tsy atao)
q22,Isan'ny mpanjono ao anaty lakana iray
q23,Iza no sefo ny laka ${fisher_id_label} ${fisher_name_new} ?
q24,"Fidio izay mpanjono hafa anaty laka, TSY ao anatin'ireo mpanjono misy ${fisher_id_label}: ${fisher_name_new}"
q25,Farito ny mpanjono vaovao
q26,Fidio izay sefo ny laka eto
q27,Vokatra rehetra ve nolanjaina ${fisher_id_label} sa ny anjaranao ?
subtitle4,Karazana vokatra ${fisher_id_label}
q28,Karazana vokatra
q29,Karazana vokatra
a19,Tanisao ny karazana vokatra (afaka misafidy maro)
q30,*Karazana vokatra vaovao: fitambarana vokatra*
a18,*Karazana vokatra vaovao*
q31,*Karazana vokatra vaovao teny anglisy* (raha fantatra)
q32,*Fianakaviamben'ny vokatra vaovao teny siantifika* (raha fantatra)
q33,*Karazana vokatra vaovao teny siantifika* (raha fantatra)
q34,*Asio sary ny karazana vokatra vaovao*
q35,Fitaovana fanjonoana
q36,Inona ny fomba fanjonoanao hampiasana tsoraby
q37,Firy ny isan'ny treko napetraka?
q38,Karazana tranon'ny laoko na habitat nanjonoana
q39,Miasa amin'ny tehaky sa lemirano?
q40,"Lazao raha misy karazana vokatra azo amin'ny jono tsy nahy, na karazana vokatra voajono"
q41,
q42,Mampiasa appât ve ianao?
q43,"Appât ampiasaina (karazana, anarana):"
q44,Lanjan'ny appât ampiasaina (kg)
subtitle5,Mombamomba ny karazam-bokatra azo
q45,Karazam-bokatra rehetra
q46,Fandanjana (kilo sa grama)
q48,Isany totaly
q50,Mbola hamboarina ve ity vokatra ity?
q51,Totaly vidiny lafo (Ariary)
q52,Antony tsy namarotana/nahalafo
subtitle6,Santionany (${calc_local_name})
q53,Lanja isaky ny vokatra
q54,Isan'izy rehetra
q56,Firy ny santionany alaina?
q57,Mari-pandanjana
q58,**Santionany 1:**
q60,*Habeany na sakany (cm)*
q61,*Halavan'ny vatany na mantle (cm)*
q62,*Halavan'ny harany (cm)*
q63,*Sakan'ny harany (cm)*
q64,*Halavany (cm)*
q67,**Santionany 10:**
subtitle7,Santionany (${calc_local_name})
q67.5,"Ankoatra ireo antontan'isa, inona koa ireo antontan'isa hafa?"
q68,Firy ny santionany alaina?
q69,Mari-pandanjana
q70,**Santionany 1:**
q59,*Lahy sa vavy*
q71,*Habeany na sakany (cm)*
q72,*Halavan'ny vatany na mantle (cm)*
q73,*Halavan'ny harany (cm)*
