key,pt
subtitle1,Informações gerais
q1,País
q2,Organização
q3,Administrador 1 pousou
q4,Administrador 2 pousou
q5,Administrador 3 pousou
q6,Nome do Coletor de Dados
a1,*Novo nome do coletor de dados*
q7,Data de chegada
subtitle2,Informações de captura por Fisher
q8,Nome do Pescador
a2,*Novo nome do pescador*
q9,*Gênero de pescador*
q10,O pescador vive em ${admin3_label}?
q11,Admin 1 de onde o pescador é:
q12,Admin 2 de onde o pescador é:
q13,Admin 3 de onde o pescador é:
q14,Quantas horas por dia você pescava ou respigava ativamente? (não incluindo tempo de viagem)
q15,Por quantos dias você esteve pescando ou respigando ativamente? (não incluindo tempo de viagem)
q16,Nome do local de destino
a8.9,*Novo nome do local de destino*
q17,Zona de Pesca Primária
a9,*Novo nome do local de pesca*
q18,Nome do comprador (se conhecido)
a10,*Novo nome do comprador*
q19,*Gênero do comprador*
subtitle3,Informações sobre o bote
q20,Tipo de embarcação:
q21,Número de matrícula do barco (opcional):
q22,Número de tripulantes de pesca no mesmo barco
q23,${fisher_id_label} ${fisher_name_new} é o capitão?
q24,"Por favor, seleccione os outros pescadores no bote, NÃO incluindo o pescador principal ${fisher_id_label}: ${fisher_name_new}"
q25,"Por favor, especifique o novo nome do pescador:"
q26,"Por favor, seleccione o capitão:"
q27,A captura está sendo registrada como toda a captura do barco ou ${fisher_id_label} parte da captura?
subtitle4,Espécies desembarcadas por ${fisher_id_label}
q28,
q29,"Nome local da espécie (use cartão de referência da espécie, se necessário)"
a19,"Por favor, especifique as espécies no saco misto (selecione vários)"
q30,Nova espécie: Grupo de espécies
a18,*Nome local da nova espécie*
q31,*Nome comum em inglês da nova espécie (se conhecido)*
q32,*Nome científico da família da nova espécie (se conhecido)*
q33,*Nome científico da espécie nova espécie (se conhecido)*
q34,*Adicionar foto de novas espécies.*
q35,Nome local da engrenagem
q36,Através de qual método você usa a lança?
q37,Quantas armadilhas você configurou/instalou?
q38,Tipo de habitat pescado
q39,
q40,"Por favor, descreva a captura acidental ou outras espécies capturadas."
q41,Definir tempo (horas)
q42,Você usa isca?
q43,Isca utilizada (tipo/espécie):
q44,Peso da isca/ração (kg)
subtitle5,Informações sobre espécies
q45,Todas as espécies
q46,Unidade de peso da captura
q48,Contagem total de capturas
q50,
q51,"Preço total da captura vendida, moeda local (estimado ou real)"
q52,Motivo da captura total não comprada/vendida
subtitle6,Amostras (${calc_local_name})
