key,tet
subtitle1,Informasaun Jeral
q1,Nasaun
q2,Organizasaun
q3,Munisipiu hatun ikan ba
q4,Aldeia hatun ikan ba
q5,Sub-Aldeia hatun ikan ba
q6,Naran Koletor Dadus
a1,*Naran foun koletor dadus*
q7,Data fila hosi peska
subtitle2,Informasaun Peska husi Peskadór
q8,Peskador naran sa?
a2,*Naran Peskadór foun*
q9,*Peskador feto ka mane? (La presija husu hili deit)*
q10,Peskadór ne'e hela iha ${admin3_label} ka lae?
q11,Peskador hela Munisipiu ne'ebe:
q12,Peskador hela Aldeia ne'ebe:
q13,Peskador hela Bairo ne'ebe:
q14,Ita ba peska ka meti oras hira? (la inklui oras viajen)
q15,Ita hahu ba peska ka meti tuku hira? (la inklui loron viajen)
q16,Naran hosi fatin hatun ikan ba
a8.9,
q17,Ita kaer ikan iha bairo ka fatin ne'ebe?
a9,*Naran foun fatin peskas*
q18,Naran Sosa na'in (karik hatene)
a10,*Naran foun sosa na'in*
q19,*Sosa na'in ne'e feto ka mane? (La presija husu hili deit)*
subtitle3,Informasaun konaba Ró
q20,Ita uza tipu ro saida ba peska:
q21,Ita nia ró iha númeru rejistu (opsaun):
q22,Peskadór nain hira mak iha ró laran
q23,Ida ${fisher_id_label} ${fisher_name_new} mak kapitaun?
q24,"Favór hili peskadór sira seluk iha ro laran, la inklui peskadór prinsipál ${fiser_id_label}: ${fisher_name_new}"
q25,Favór espesífika naran peskadór foun:
q26,Favór ida hili kapitaun:
q27,Ikan ne'e imi hotu nian ka balu fahe ona no ida ne'e ${fisher_id_label} nian deit?
subtitle4,Espésie ikan ne'e hatun husi se ${fisher_id_label}
q28,
q29,"Ikan Naran Saida (uza kartaun referénsia espésie nian, karik presiza)"
a19,Ikan saida deit mak ita sei ba fa'an hamutuk (favor hili hotu ikan ne'ebe mak peskador sira planu atu ba fa'an hamutuk)
q30,*Espesie foun: Grupu Espesie*
a18,*Naran lokál espésie foun*
q31,*Naran Ingles espésie foun (karik hatene)*
q32,*Naran família sientífiku espésie foun(karik hatene)*
q33,*Naran sientífiku ba ikan/espesie ne'e (karik hatene)*
q34,*Foti foto espésie foun.*
q35,Ita uza ekipamentu saida ba peska
q36,"Métodu saida mak ita uza ekipamentu ne'e (Kilat Tasi, Keur/Tombak)?"
q37,Bubu/lasu hira mak ita-bót ba tau/monta?
q38,"Ita ba peska iha ahu-ruin, du'ut tasi, rai-henek ka tasi kle'an"
q39,
q40,
q41,
q42,
q43,
q44,
subtitle5,Informasaun Espésie
q45,Ikan/espésie hotu-hotu
q46,Unidade todan (GMP la presija husu peskador hili deit tetu uza kilograma ka grama?)
q48,Total ikan individu ne'ebe sira kaer (ekor)
q50,
q51,Total presu ikan ne'ebe fa'an ona (estimasaun ou atual)
q52,Razaun tanbasa totál ikan labele sosa/la faan hotu
subtitle6,Amostra/Sampel (${calc_local_name})
q53,Unidade todan (GMP la presija husu peskador hili deit tetu uza kilograma ka grama?)
q54,Numeru totál
q56,Ita halibur amostra/sample hira husi espésie/ikan ne'e?
q57,Unidade todan ba sample individual.
q58,**Amostra/Sampel 1**
q60,*Luan (cm)*
q61,*Mantle naruk (cm)*
q62,*Karapas naruk (cm)*
q63,*Karapas luan (cm)*
q64,*Total naruk individu (cm)*
q67,**Amostra/Sampel 10:**
subtitle7,Amostra/Sampel (${calc_local_name})
q67.5,"Aleinde dadus tempu naruk, dadus seluk saida mak ita koleta?"
q68,Ita halibur amostra/sample hira?
q69,Unidade todan ba sample individual
q70,**Amostra/Sampel 1**
q59,*Seksu*
q71,*Luan (cm)*
q72,*Mantle naruk (cm)*
q73,*Karapas naruk (cm)*
q74,*Karapas luan (cm)*
q75,*Total naruk individu (cm)*
q76,*Todan individual (${weight_unit_samples})*
q77,*Gonad maturity stage*
q78,Kualidade peska
q79,Utiliza Es hodi armazenamentu?
q79.5,
q80,Uza kartaun kór hodi determina valór kuantitativu ba kór gutrita ho eskala 1-5.
q81,Total liman
q82,Kulit kanek?
q83,Persentajen (%) husi gurita nia oin kanek
q84,Ibun
q85,Kulit
q86,Kualidade peska
q87,Kadiuk ne''e sei moris ka?
q88,Are the eyes and body reactive to touch?
q89,Are the eyes intact?
q90,Are the claws intact?
q91,How many legs are broken?
q92,Is the crab foaming at the mouth?
q93,Gonads
q94,Gonad weight (g)
q95,Gonad colour
q96,Stage of Gonad
q97,Gonad length (cm)
q98,Appearance of spermatophore
q99,Appearance of lines in ovary glands
q100,Stylet
q101,
a35,kilograma (kg)
a36,grama (g)
a37,
a38,
a24,Fatuk ahu-ruin/korál
a25,Du'ut tasi/Bulanbur
a26,Ai-parapa
a27,Tahu
a28,Rai-henek
a29,Tasi kle'an
a30,Seluk
a7,Sim
a8,Lae
a55,Lahó Es
a56,Utiliza Es durante peska
a57,Utiliza Es durante ba para ro
a58,Utiliza Es durante peska no ba para ro
a59,"Ibun kompletu, la tohar"
a60,"Ibun estraga, tohar"
a61,La nakless
a62,"Nakless, kabun nakloke"
a11,"Motorizadu boot, liu husi >15PK"
a12,Motorizadu ki'ik < 15 PK (inklui Ketinting)
a13,Sem motor uza kose
a14,
a14.5,
a15,"La iha ro, (Ba meti ho Luku de'it)"
a53,Male
a54,Female
a74,Opaque
a75,White
a76,Off-white
a77,White
a78,Beige
a79,Orange/Yellow
a80,Dark yellow
a81,I
a82,II
a83,III
a84,IV
a85,None
a86,Few
a87,Many
a88,None
a89,Unclear lines
a90,Clear lines
a48,Kualidade la di'ak
a49,Ki'ik liu
a50,Bo'ot liu
a51,Rezerva ba aan de'it
a52,Seluk
a63,Length
a64,Quality
a65,Gonad
a66,Stylet
a67,Gonad maturity stage
a20,Luku ho Kompressor
