key,es
title,Orientación sobre la Pesca y la Recopilación de Datos Comunitarios
subtitle,Una guía rápida para los marcos y protocolos de recopilación de datos de encuestas de KoBoToolbox.
intro,Introducción
p1,La guía rápida proporciona orientación paso a paso para recopilar y validar datos pesqueros y comunitarios a través del sistema. Esta guía resume el proceso de recopilación de datos y describe los protocolos para actualizar los archivos de referencia y las tablas de control de calidad.
p2,"Desarrollamos cuatro formularios de encuestas para recopilar datos sobre desembarques pesqueros y comunidades pesqueras. Las descripciones detalladas de la encuesta están disponibles en la guía completa en Inglés, Bahasa Indonesio, Cebuano, Francés, Tagalo, Swahili, Malgache, Español, Portugués y Tetún."
p3,"La Encuesta de Monitoreo de Desembarques captura los datos mínimos, idealmente diariamente o con la mayor frecuencia posible, necesarios para rastrear las tendencias a largo plazo en la producción pesquera, la composición de las especies y el valor de captura. Esta encuesta puede ayudar a evaluar los efectos de los cierres de pesquerías u otras estrategias de manejo al comparar datos antes y después de la implementación. La encuesta es breve y fácil de usar para permitir una recopilación de datos más frecuente y consistente."
p4,"La Encuesta de Perfiles de Desembarque recopila datos detallados de pesquerías sobre artes, esfuerzo y tamaño de peces o invertebrados individuales junto con información especializada para grupos específicos de especies, como sexo, calidad de captura, datos de estiletes y madurez de los huevos. La calidad de captura del pulpo incluye métodos de almacenamiento, color, número de tentáculos, abrasiones físicas, calidad del pico y afecciones de la piel. Los datos del estilete del pulpo incluyen fotos de muestra y circunferencia de crecimiento. Los datos de madurez de los huevos explican el peso, el color, el estadio, la longitud y la apariencia de las gónadas en las glándulas ováricas de las hembras de pulpo. Estos datos complementan los datos de monitoreo de desembarques y ayudan a los socios a comprender mejor las tendencias de captura observadas en la producción pesquera y los efectos de la gestión pesquera. La encuesta fue diseñada para realizarse al comienzo de la participación en una comunidad y posteriormente cada uno o dos años, antes y después de implementar la estrategia de manejo, o según sea necesario para explicar los cambios en la captura observados a través de los datos de monitoreo."
p5,"La Encuesta de Perfiles Comunitarios recopila una comprensión integral del panorama socioeconómico y pesquero de una comunidad. La encuesta se usa cuando se involucra por primera vez con una comunidad y se repite cuando es apropiado para documentar cambios importantes en el comportamiento pesquero, las percepciones de los pescadores y la gestión de los recursos. La frecuencia de la encuesta dependerá del alcance del proyecto (es decir, cuándo se espera que ocurra un cambio)."
p6,"La Encuesta de hogares de pescadores captura información detallada de los hogares de pescadores, como las percepciones a nivel de hogar de las actividades relacionadas con la pesca, las fuentes de ingresos, las actividades diarias, las principales especies de peces capturadas, la dependencia del pescado como alimento y la actividad pesquera. La encuesta se usa cuando se involucra por primera vez con una comunidad y se repite cada dos a cinco años o después de las intervenciones de manejo para documentar cambios en el comportamiento pesquero, las percepciones de los pescadores, la efectividad del manejo, la seguridad alimentaria, la confianza y la equidad de género."
steps,Pasos para Usar los Formularios de KoBoToolbox
step1,Preparar datos de referencia
1a,"Los datos de referencia se pueden actualizar a través de Smartsheet y contienen información completa sobre los niveles administrativos de las comunidades pesqueras (país, provincia, distrito/municipio, aldea/comunidad), sitios de desembarque, pescadores, compradores, recolectores de datos, datos de especies, áreas de manejo, tipos de hábitat, tipos de artes y organizaciones asociadas."
1b,"Las hojas de datos de referencia se utilizan para completar listas desplegables en los formularios de encuesta de KoBoToolbox y unir datos adicionales necesarios para el análisis, como las coordenadas de la aldea y el género de los pescadores."
1c,"Actualice los datos de referencia con nuevas especies, pescadores, compradores, sitios de desembarque, aldeas, etc. que son necesarios para la recopilación de datos en nuevas áreas."
1d,Es fundamental que estos archivos estén actualizados para que la recopilación y el análisis de datos funcionen sin problemas. Los archivos de referencia se cargan en kobo cada 12-24 horas.
step2,Configura la cuenta de KoBoToolbox
2a,Todas las encuestas se administran mediante el uso de un formulario de KoBoToolbox. Cada uno de los formularios de la encuesta se puede compartir con una cuenta de KoBoToolbox.
2b,Configura tu cuenta de Kobo Toolbox en el servidor general en https://kf.kobotoolbox.org/accounts/signup/
2c,Ponte en contacto con el equipo con los detalles y el nombre de usuario de tu cuenta de Kobo para que se puedan compartir los formularios apropiados con tu cuenta.
step3,Descargue la aplicación KoboCollect.
3a,Se puede acceder a los formularios de Kobo a través de la aplicación gratuita para teléfonos móviles Android KoboCollect o mediante el formulario web de Enketo.
step4,Cargue formularios en la aplicación KoboCollect. Consulta Configuración de Kobo para obtener instrucciones adicionales.
4a,"Una vez descargada la aplicación, configure la URL del servidor, el nombre de usuario y la contraseña, que conectan su aplicación KoboCollect al servidor KoBoToolbox. Esto le permite descargar formularios implementados desde KoBoToolbox a su dispositivo móvil y también enviar los datos recopilados a través de la aplicación al servidor. Para la URL, use la URL del servidor de uso general : https://kc.kobotoolbox.org."
4b,"Puede acceder a ""Configuración del proyecto"" haciendo clic en el icono en la esquina superior derecha de la pantalla de inicio."
4c,"En la pantalla de inicio, seleccione "" Descargar formulario.”"
4d,"Debería aparecer una lista de todos los formularios de encuesta implementados. Presione ""Seleccionar todo"" para que se envíen todos los formularios de la encuesta a la aplicación o seleccione los que desee seleccionando manualmente. Luego, haga clic en "" Seleccionar.”"
4e,"Es importante que las encuestas se actualicen regularmente para garantizar que se esté utilizando la última versión del formulario a fin de no causar problemas en la canalización de datos. Si bien el formulario web se actualiza automáticamente cuando hay una nueva versión de la encuesta disponible, los usuarios deben configurar la ""actualización automática"" en la aplicación. Puede configurar la actualización automática yendo a"" Configuración "" y ""Administración de formularios""."
step5,Recopile datos con los formularios de encuestas de KoBoToolbox
5a,"Recopile datos seleccionando ""Iniciar nuevo formulario"" en la aplicación KoboCollect. Consulta las instrucciones detalladas sobre la recopilación de datos mediante la aplicación en Configuración de Kobo."
5b,"Al final de la encuesta, seleccione ""Finalizar.""Si desea editar el formulario antes de enviarlo, seleccione"" Guardar como borrador.""Si seleccionó"" Guardar como borrador"", su formulario se enviará a ""Borradores"".""Aquí, puede realizar ediciones en los formularios antes de enviarlos al conjunto de datos final .  Después de realizar los cambios, seleccione ""Finalizar"", como se mencionó anteriormente. Después de seleccionar ""Finalizar"", el formulario se almacena automáticamente en ""Listo para enviar"".""En la versión actual de Kobo, aún puedes editar formularios aquí. En el futuro, sin embargo, no podrá editarlos una vez finalizados, y ""Listo para enviar"" será solo un lugar de espera para almacenar los formularios finalizados hasta que tenga una conexión a Internet para enviarlos al servidor. Seleccione ""Enviar seleccionados"" para enviar todos los formularios al servidor."
5c,Los datos recopilados mediante la aplicación o el formulario web se limpiarán y almacenarán en un sistema central de almacenamiento de datos. Los datos sin procesar se respaldan en la base de datos de KoBoToolbox.
step6,Validar datos en Smartsheet
6a,Todos los datos que fluyen a través del sistema de datos de pesquerías se validan en Smartsheet. En la página de validación de datos se encuentra una guía de instrucciones completa paso a paso para completar este proceso.
6b,"Los datos se envían para su validación en dos escenarios: 1) se agregan manualmente nuevos nombres para un pescador, comprador, recopilador de datos o especie en Kobo Collect, o 2) un valor numérico supera los umbrales establecidos. Estas entradas deben verificarse antes de incluirse en el conjunto de datos final, visualizarse en el panel y agregarse a los archivos de referencia."
