key,mg
title,Torolalana Momba ny Jono sy Ny Fanangonana Angon-Drakitra Ho An'ny Vondrom-Piarahamonina
subtitle,Torolalana haingana ho an'ny rafitra sy ny protocols fanangonana angon-drakitra kobotoolbox survey.
intro,Fampidirana
p1,Manome torolàlana tsikelikely ny quick guide mba hanangonana sy hanamarinana ny jono sy ny angon-drakitra avy amin'ny vondrom-piarahamonina amin'ny alalan'ny rafitra. Ity torolàlana ity dia mamintina ny fizotry ny fanangonana angon-drakitra ary mamaritra ny protocols amin'ny fanavaozana ny rakitra referansa sy ny latabatra fanaraha-maso kalitao.
p2,"Namolavola endrika fanadihadiana efatra izahay mba hanangonana angon-drakitra momba ny fanjonoana sy ny vondrom-piarahamonina mpanjono. Misy famaritana amin'ny antsipirihany momba ny fanadihadiana ao amin'ny boky feno amin'ny teny anglisy, Bahasa Indoneziana, Cebuano, Frantsay, Tagalog, Swahili, Malagasy, Espaniola, Portogey, ary Tetun."
p3,"Ny Fanadihadiana Momba ny Fanaraha-maso ny Fipetrahana dia maka ny angon-drakitra farafahakeliny, tsara indrindra isan'andro na matetika araka izay azo atao, ilaina hanarahana ny fironana maharitra amin'ny famokarana jono, ny firafitry ny karazany ary ny sandan'ny trondro. Ity fanadihadiana ity dia afaka manampy amin'ny fanombanana ny vokatry ny fanakatonana ny jono na ny paikady fitantanana hafa amin'ny fampitahana ny angona alohan'ny sy aorian'ny fampiharana. Fohy sy mora ampiasaina ny fanadihadiana mba hahafahana manangona angon-drakitra matetika sy tsy miovaova."
p4,"Ny Landings Profiling Survey dia manangona angon-drakitra (antontan'isa) momba ny jono amin'ny antsipiriany momba ny fitaovana, ny ezaka ary ny haben'ny trondro tsirairay na ny tsy misy taolana miaraka amin'ny fampahalalana manokana ho an'ny vondrona karazany manokana toy ny maha lahy na maha vavy, ny kalitaon'ny trondro, ny angon-drakitra momba ny stylet, ary ny fahamatorana atody. Ny kalitaon'ny horita dia ahitana fomba fitahirizana, loko, laharan'ny tentacle, abrasions ara-batana, kalitaon'ny vavany ary toetry ny hoditra. Ny angon-drakitra (antontan'isa) momba ny stylet octopus dia ahitana sary santionany sy ny circumference fitomboana. Ny angon-drakitra momba ny fahamatorana atody no mahatonga ny lanjan'ny gonada, ny lokony, ny dingana, ny halavany, ary ny endriky ny tsipika ao amin'ny fihary atodinaina amin'ny sokatra vavy. Ireo angon-drakitra ireo dia mameno ny angon-drakitra fanaraha-maso ny fipetrahana ary manampy ireo mpiara-miombon'antoka hahatakatra tsara kokoa ny fironana amin'ny fanjonoana hita amin'ny famokarana jono sy ny vokatry ny fitantanana ny jono. Natao ny fanadihadiana mba hatao amin'ny fiandohan'ny fandraisana anjara amin'ny vondrom-piarahamonina iray ary avy eo atao isaky ny ray na roa taona, alohan'ny sy aorian'ny fampiharana ny paikady fitantanana, na araka izay ilaina mba hanazavana ny fiovan'ny vokatra hita amin'ny alàlan'ny angon-drakitra (antontan'isa) fanaraha-maso."
p5,"Ny Fanadihadiana Momba ny Vondrom-piarahamonina dia manangona fahatakarana feno momba ny tontolo ara-tsosialy sy ara-toekarena ary ny jono ao amin'ny vondrom-piarahamonina iray. Ampiasaina ny fanadihadiana rehefa mifandray amin'ny vondrom-piarahamonina iray aloha ary averina rehefa ilaina ny manoratra ny fiovana lehibe eo amin'ny fitondran-tena amin'ny jono, ny fomba fijerin'ny mpanjono, ary ny fitantanana ny loharanon-karena. Miankina amin'ny faritry ny tetikasa ny fahita matetika amin'ny fanadihadiana (izany hoe, rehefa antenaina hisy fiovana)."
p6,"Ny Fisher Household Survey dia misambotra fampahalalana amin'ny antsipirihany momba ny tokantranon'ny mpanjono, toy ny fomba fijerin'ny tokantrano ny hetsika mifandraika amin'ny jono, loharanom-bola, hetsika isan'andro, karazan-trondro lehibe tratra, fiankinan-doha amin'ny trondro ho an'ny sakafo, ary ny asa fanjonoana. Ampiasaina ny fanadihadiana rehefa mifandray voalohany amin'ny vondrom-piarahamonina iray ary averina isaky ny roa ka hatramin'ny dimy taona na aorian'ny fidirana an-tsehatra amin'ny fitantanana mba handraketana ny fiovan'ny fitondran-tena amin'ny jono, ny fomba fijerin'ny mpanjono, ny fahombiazan'ny fitantanana, ny fiarovana ara-tsakafo, ny fitokisana ary ny fitovian'ny lahy sy ny vavy."
steps,Dingana Amin'ny Fampiasana ny KoboToolbox
step1,Manomàna angona momba ny referansa
1a,"Ny angon-drakitra momba ny referansa dia azo havaozina amin'ny Alàlan'ny Smartsheet ary misy fampahalalana feno momba ny ambaratonga fitantanana ny vondrom-piarahamonina mpanjono (firenena, faritany, distrika/kaominina, vohitra/vondrom-piarahamonina), toerana fiantsonana, mpanjono, mpividy, mpanangona angon-drakitra, angon-drakitra karazana, faritra fitantanana, karazana toeram-ponenana, karazana fitaovana ary fikambanana mpiara-miasa."
1b,Ny takelaka angon-drakitra momba ny referansa dia ampiasaina hamenoana ny lisitry ny fihenam-bidy ao amin'ny endrika fanadihadiana kobotoolbox ary hanatevin-daharana ny angon-drakitra fanampiny ilaina amin'ny famakafakana toy ny koordinatin'ny tanàna sy maha lahy sy ny maha vavy ny mpanjono.
1c,"Havaozy ny angon-drakitra momba ny karazana vaovao, mpanjono, mpividy, toerana fipetrahana, vohitra, sns. ilaina amin'ny fanangonana angon-drakitra amin'ny faritra vaovao izany."
1d,Zava-dehibe ny fanavaozana ireo rakitra ireo mba hahafahan'ny fanangonana sy famakafakana angon-drakitra mandeha tsara. Ny rakitra referansa dia ampidirina ao amin'ny kobo isaky ny 12-24 ora.
step2,Amboary Ny Kaonty Kobotoolbox
2a,Ny fanadihadiana rehetra dia atao amin'ny alalan'ny fampiasana endrika KoboToolBox. Ny endrika fanadihadiana tsirairay dia azo zaraina amin'ny kaonty kobotoolbox.
2b,Amboary Ny Kaontinao Kobo Toolbox amin'ny mpizara ankapobeny amin'ny https://kf.kobotoolbox.org/accounts/signup/
2c,Azafady mba mankanesa any amin'ny Ekipan'ny miaraka amin'ny antsipirian'ny kaontinao kobo sy ny anaranao mba hizarana ireo endrika mety amin'ny kaontinao.
step3,Ampidino ny Fampiharana Kobocollect.
3a,Azo jerena amin'ny alalan'ny fampiharana Finday Android Maimaimpoana kobocollect na amin'ny alalan'ny endrika tranonkala Enketo ny endrika kobo.
step4,Load forms ao Amin'ny Fampiharana Kobocollect. Jereo Ny Kobo Setup raha mila torolalana fanampiny.
4a,"Rehefa alaina ny fampiharana dia apetraho ny url mpizara, Ny Solonanarana ary ny Tenimiafina, izay mampifandray ny fampiharana kobocollect anao amin'ny mpizara kobotoolbox. Izany dia ahafahanao misintona endrika napetraka avy amin'ny KoboToolbox mankany amin'ny findainao ary mandefa angona voaangona amin'ny alàlan'ny fampiharana miverina any amin'ny mpizara. Ho AN'NY URL, ampiasao NY url use server ankapobeny - https://kc.kobotoolbox.org."
4b,"Azonao atao ny miditra amin'ny ""Settings Project"" amin'ny fipihana ny kisary eo amin'ny zoro havanana ambony amin'ny efijery."
4c,"Ao amin'ny efijery an-trano, safidio ny ""Download Form.”"
4d,"Tokony hiseho ny lisitry ny endrika fanadihadiana rehetra napetrakao. Tsindrio ""Safidio Ny Rehetra"" mba handefasana ny endrika fanadihadiana rehetra amin'ny fampiharana na safidio ireo tianao hananana amin'ny fisafidianana azy ireo amin'ny tanana. Avy eo, tsindrio ""Mifidiana.”"
4e,"Zava-dehibe ny fanavaozana tsy tapaka ny fanadihadiana mba hahazoana antoka fa ampiasaina ny kinova farany amin'ny endrika mba tsy hiteraka olana amin'ny fantsom-pifandraisana. Raha havaozina ho azy ny endrika tranonkala rehefa misy ny kinova vaovao amin'ny fanadihadiana, ny mpampiasa dia tsy maintsy manamboatra ""fanavaozana mandeha ho azy"" ao amin'ny fampiharana. Azonao atao ny manangana fanavaozana mandeha ho azy amin'ny alàlan'ny fandehanana any amin'ny ""Settings"" sy ""form management""."
step5,Angony ny angona miaraka amin'ny endrika fanadihadiana kobotoolbox
5a,"Angony ny angona amin'ny fisafidianana Ny ""Start New Form"" ao amin'ny fampiharana kobocollect. Jereo ny torolàlana amin'ny antsipiriany momba ny fanangonana angona amin'ny alàlan'ny fampiharana Ao Amin'ny Kobo setup."
5b,"Amin'ny faran'ny fanadihadiana, safidio ny ""Finalize.""Raha te hanova ny endrika alohan'ny handefasana ianao dia safidio Ny"" Save as draft.""Raha nisafidy Ny"" Save as draft ""ianao, dia halefa any amin'ny ""Drafts"" ny endrikao.""Eto ianao dia afaka manova endrika alohan'ny handefasanao azy ireo amin'ny angon-drakitra farany. Rehefa avy nanao fanovana ianao dia safidio ny ""Finalize"", araka ny voalaza etsy ambony. Aorian'ny fisafidianana ny"" Finalize"", ny endrika dia voatahiry ho Azy eo ambanin'ny "" Ready to send.""Ao amin'ny dikan-teny kobo ankehitriny, mbola afaka manova endrika eto ianao. Amin'ny ho avy anefa dia tsy ho afaka hanova ianao raha vantany vao vita izy ireo, ary Ny ""Ready to send"" dia ho toerana fitehirizana ireo endrika vita mandra-pahazoanao fifandraisana internet handefasana azy ireo any amin'ny mpizara. Safidio ny"" Alefaso voafantina "" handefasana ny endrika rehetra amin'ny mpizara."
5c,Ny angon-drakitra voaangona amin'ny fampiasana ny fampiharana na ny endrika tranonkala dia hodiovina sy hotehirizina ao anaty rafitra fitehirizana angon-drakitra foibe. Ny angon-drakitra manta dia voatahiry ao amin'ny tahiry kobotoolbox.
step6,Hamarino ny angona Ao Amin'ny Smartsheet
6a,Ny angon-drakitra rehetra izay mikoriana amin'ny alalan'ny rafitra angon-drakitra momba ny jono dia voamarina ao amin'ny Smartsheet. Hita ao amin'ny pejy Fanamarinana Ny Angon-drakitra ny torolàlana feno momba ny famitana ity dingana ity.
