key,tet
title,Matadalan kona-ba Kolesaun Dadus Peskas no Komunidade
subtitle,Matadalan lalais ida ba enkuadramentu no protokolu sira kona-ba kolesaun dadus levantamentu KoboToolBox nian.
intro,Introdusaun
p1,Matadalan lalais ne'e fornese orientasaun pasu-ba- pasu atu halibur no omologa dadus peska no komunidade liuhosi sistema. Matadalan ida-ne'e rezumu prosesu halibur dadus no deskreve protokolu sira atu atualiza arkivu referénsia no tabela kontrolu kualidade.
p2,"Ami dezenvolve formuláriu peskiza haat atu halibur dadus kona-ba peska no peska komunidade sira. Deskrisaun levantamentu detalladu bele hetan iha matadalan kompletu iha lian Ingles, Lian Indonezia, Cebuano, Fransa, Tagalog, Swahili, Malagazi, Espana, Portuges no Tetun."
p3,"Peskiza Monitorizasaun Rai nian kaptura dadus mínimu, idealmente loron-loron ka dala barak liu, ne'ebé presiza hodi halo monitorizasaun ba tendénsia sira iha produsaun peska nian ba tempu naruk, kompozisaun espésie sira, no valór kapturasaun nian. Peskiza ida-ne'e bele tulun avalia efeitu husi enserramentu peska ka estratéjia jestaun sira seluk liu husi kompara dadus molok no hafoin implementasaun. Peskiza ne'e badak no amigavel ba utilizadór hodi permite kolesaun dadus ne'ebé konsistente no konsistente liu."
p4,"Peskiza Profiling Rai nian halibur dadus peska detalladu kona-ba sasán, esforsu, no sa'e ikan individuál ka invertebradu hamutuk ho informasaun espesializadu ba espésie espesífiku sira hanesan seksu, kualidade kaptura, dadus estilu, no maturidade manu-tolun. Kualidade kaer oktopu inklui métodu armazenamentu, kór, númeru tentasaun, abrasoens fíziku, kualidade beik, no kondisaun kulit. Dadus estilu oktopu inklui amostra fotografia no sirkunstánsia kresimentu. Dadus kona-ba maturidade manu-tolun konta kona-ba manu-tolun nia todan, kór, faze, naruk, no liña iha manu-tolun nia okos. Dadus hirak-ne'e komplementa dadus monitorizasaun no ajuda parseiru sira atu komprende di'ak liu tan tendénsia kapturasaun ne'ebé observa ona iha produsaun peska no efeitu sira husi jestaun peska. Peskiza ne'e dezeña atu hala'o iha inísiu envolvimentu iha komunidade ida no tuir mai hala'o kada tinan ida to'o tinan rua, molok no hafoin implementa estratéjia jestaun nian, ka tuir nesesidade atu esplika mudansa sira iha kapturasaun ne'ebé observa liuhosi dadus monitorizasaun nian."
p5,"Peskiza Profiling Komunidade halibur kompriensaun komprehensivu ida kona-ba paizajen sosio-ekonomiku no peska komunidade nian. Peskiza ne'e uza bainhira ulukliu envolve ho komunidade ida no repete bainhira apropriadu atu dokumentasaun mudansa boot iha hahalok peska, persepsaun peskadór, no jestaun rekursu. Frekuénsia levantamentu sei depende ba ámbitu projetu (ezemplu, bainhira hein katak mudansa sei akontese)."
p6,"Peskiza Peskas Uma-kain nian kaptura informasaun detalladu kona-ba peskadór uma-kain nian, hanesan persepsaun nivel uma-kain nian kona-ba atividade sira ne'ebé relasiona ho peska, fonte rendimentu, atividade loroloron nian, espésie ikan prinsipál sira ne'ebé kaer, dependénsia ba ikan ba ai-han, no atividade peska. Peskiza ne'e uza bainhira ulukliu envolve ho komunidade ida no repete kada tinan rua to'o tinan lima ka hafoin jestaun intervensaun sira atu dokumenta mudansa iha hahalok peska, persepsaun peskadór, efikásia jestaun, seguransa ai-han, konfiansa, no igualdade jéneru."
steps,Pasu sira atu uza formuláriu KoboToolbox
