key,id
title,Memperbarui File Referensi
p1,"Semua file referensi diperbarui dalam Tampilan Dinamis Smartsheet. File referensi berfungsi sebagai input untuk daftar dropdown dalam formulir KoBoToolbox dan berisi data yang ditambahkan ke kumpulan data master melalui proses penggabungan. Mereka berisi informasi lengkap tentang tingkat administrasi komunitas nelayan (negara, provinsi, kecamatan, desa), lokasi pendaratan, tempat penangkapan ikan, nelayan, pembeli, pengumpul data, spesies, area pengelolaan, jenis peralatan, dan organisasi mitra. Langkah-langkah di bawah ini menguraikan cara memperbarui file referensi dengan informasi baru."
step1,Langkah 1: Buat akun smartsheet gratis.
point1,Akun gratis dapat dibuat di https://www.smartsheet.com/
point2,"Pilih ""Coba smartsheet gratis"""
step2,Langkah 2: Berikan Blue Ventures (BV) alamat email yang Anda gunakan untuk membuat akun smartsheet Anda.
point3,BV kemudian akan membagikan file referensi yang terkait dengan organisasi Anda.
point4,"Untuk melihat file referensi Anda, Anda harus masuk ke Tampilan Dinamis smartsheet menggunakan kredensial smartsheet Anda: https://dynamicview.smartsheet.com/login"
point5,"Setelah masuk ke Tampilan Dinamis (bukan smartsheet app), Anda akan melihat daftar file referensi yang dibagikan dengan akun Anda (Gambar 1)."
fig1,Gambar 1: Daftar file referensi dalam Tampilan Dinamis
step3,Langkah 3: Klik pada file referensi untuk membuat pembaruan
point6,"Setelah terbuka, Anda dapat mengeklik setiap baris untuk mengedit data yang ada, atau mengeklik tombol ""New"" di sudut kanan atas untuk menambahkan data baru (Gambar 2)."
point7,"Panel detail akan muncul di sisi kanan tempat Anda akan memasukkan informasi yang diperlukan (Gambar 3; Tabel 1). Pilih ""Save"" di kanan bawah panel detail setelah Anda selesai memperbarui."
point8,"Untuk memberikan komentar atau mengajukan pertanyaan apa pun kepada tim, pilih tab ""Comments"" di panel detail. Semua individu yang berbagi file referensi, termasuk tim BV, akan menerima pemberitahuan saat komentar dibuat, jadi tidak perlu menandai individu tertentu."
fig2,Gambar 2: Contoh tampilan admin2_ref dalam Tampilan Dinamis
fig3,Gambar 3: Contoh tampilan panel detail admin2_ref dalam Tampilan Dinamis
step4,"Langkah 4: Menanggapi permintaan pembaruan saat data hilang atau salah, atau menanggapi komentar."
point9,"Jika ada informasi yang tidak lengkap atau salah yang penting untuk melengkapi dropdown Kobo atau untuk proses penggabungan, atau jika komentar dibuat di sheet, permintaan pembaruan akan dikirim ke semua pengguna yang sesuai, meminta mereka untuk memperbarui informasi atau menanggapi komentar (Gambar 4). Secara bawaan, semua orang yang memiliki akses ke file referensi Anda akan menerima permintaan pembaruan."
point10,"Pratinjau data yang perlu diperbarui atau ditanggapi akan muncul di bawah pesan email, tetapi Anda tidak akan dapat memperbarui data apa pun secara langsung di email"
point10.1,"Di bagian bawah email, ada tautan untuk ""Pergi ke lembar""; namun, lembar yang mendasarinya memiliki akses terbatas. Harap tinjau data Anda atau tanggapi komentar tersebut melalui Open request."
point11,"Klik tombol ""Open Request"" di pesan email."
point12,Jendela baru pada peramban internet akan terbuka dengan pengaturan seperti formulir untuk setiap entri (Gambar 5)
point13,Tinjau bidang BV dan isi bidang yang dapat diedit.
point14,Klik Next di bagian bawah layar untuk menelusuri setiap entri yang perlu diperbarui.
point15,"Untuk melewati entri (mis. jika Anda belum yakin jawaban mana yang harus dipilih) klik ""Next"" tanpa membuat perubahan di kolom yang dapat diedit. Entri berikutnya yang perlu diperbarui akan muncul."
point16,"Jika Anda perlu keluar dari halaman atau berhenti sebelum semua entri diperbarui, pilihan Anda akan tersimpan pada saat Anda membuka kembali permintaan tersebut. Setelah membuka untuk melanjutkan, cukup klik ""Next"" sampai Anda menemukan entri yang perlu diperbarui."
point17,"Saat Anda masuk ke entri terakhir, klik ""Done"". Pesan pop-up akan muncul menanyakan apakah Anda 'Siap mengirimkan pembaruan Anda?’:"
point17.1,"Klik ""Go Back"" jika Anda perlu meninjau"
point17.2,"Klik ""Submit Update"" untuk mengirimkan pembaruan Anda."
point17.3,Pembaruan Anda secara otomatis ditambahkan ke file referensi dan Anda dapat melihatnya dalam Tampilan Dinamis
fig4,"Gambar 4: Contoh email ""Permintaan Pembaruan"" saat informasi perlu diperbaiki atau komentar perlu ditanggapi."
table1,"Tabel 1: Bidang utama di setiap file referensi. Jenis bidang ""BV"" dikelola oleh Blue Ventures dan tidak dapat diedit. Untuk meminta perubahan pada salah satu bidang ""BV"", silakan tinggalkan komentar. Hanya bidang dengan tipe bidang ""dapat diedit"" yang dapat diedit. Jenis bidang ""otomatis"" diisi secara otomatis."
t1.1,Nama bidang
t1.2,Deskripsi bidang
t1.3,Jenis bidang
t1.4,Semua file referensi
t1.5,"Kolom ini menyimpan komentar terakhir yang dibuat untuk baris tersebut. Untuk melihat seluruh diskusi komentar untuk baris tersebut, cukup klik di mana saja pada baris tersebut. Panel detail akan muncul, seperti pada Gambar 3. Klik pada tab ""Comments"" untuk melihat semua komentar untuk baris tersebut."
t1.6,otomatis
t1.7,dapat diedit
t1.8,Tanggal suntingan terakhir
t1.9,Pengguna yang melakukan pengeditan terakhir
t1.10,"Kode ISO negara, yang merupakan kode kombinasi huruf yang diakui secara internasional"
t1.11,"Nama admin1, tingkat administrasi tertinggi setelah negara (yaitu provinsi) tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.12,"Nama admin1, tingkat administrasi tertinggi setelah negara (yaitu provinsi) dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena proses penggabungan didasarkan pada hal ini."
t1.13,"Bendera akan berwarna merah jika nama ""mitra"" tidak ada di org_ref"
t1.14,"Nama mitra tanpa spasi dan tanpa tanda baca, hanya garis bawah. Dropwonn list terhubung ke kolom ""name"" di org_ref."
t1.15,"Pilih ""Ya"" jika data saat ini sedang dikumpulkan dari individu/area ini. Jika data tidak lagi dikumpulkan dari individu/area ini, dan Anda ingin menyembunyikannya dari menu dropdown list Kobo, pilih ""Tidak.”"
t1.16,"Pilih "" Ya "" jika Anda ingin menghapus rekaman tersebut. Catatan hanya boleh dihapus jika namanya salah atau merupakan duplikat dari catatan yang ada."
t1.18,"Nama admin2, tingkat administrasi tertinggi setelah admin1 (yaitu kecamatan) tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.19,"Nama admin2, tingkat administrasi tertinggi setelah admin1 (yaitu kecamatan) dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena proses penggabungan didasarkan pada hal ini."
t1.20,"Bendera akan berwarna merah jika nama ""admin1_ref_name"" tidak ada di admin1_ref"
t1.21,"Nama Admin1 tanpa spasi dan tanpa tanda baca, hanya garis bawah. Daftar dropdown list terhubung ke kolom ""name"" di admin1_ref."
t1.25,"Nama admin2 dan admin3 digabungkan tanpa spasi dan tanpa tanda baca, hanya garis bawah. Admin3 adalah tingkat administrasi tertinggi setelah admin2 (yaitu desa)."
t1.26,"Nama admin3, tingkat administrasi tertinggi setelah admin2 (yaitu desa) dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena proses penggabungan didasarkan pada hal ini."
t1.27,Admin1 nama dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin1_ref dan diisi secara otomatis berdasarkan admin2 yang dipilih.
t1.28,"Nama Admin1 tanpa spasi dan tanpa tanda baca, hanya garis bawah. Ini ditarik dari admin1_ref dan diisi secara otomatis berdasarkan admin2 yang dipilih"
t1.29,"Bendera akan berwarna merah jika nama ""admin2"" tidak ada di admin2_ref."
t1.30,"Nama Admin2 dengan spasi dan tanda baca diperbolehkan. Daftar dropdown list terhubung ke kolom ""label"" di admin2_ref."
t1.31,"Nama Admin2 tanpa spasi dan tanpa tanda baca, hanya garis bawah. Ini ditarik dari admin2_ref dan diisi secara otomatis berdasarkan admin2 yang dipilih."
t1.34,Koordinat lintang admin3
t1.35,Koordinat bujur admin3
t1.38.1,"Pilih ""Ya"" jika Anda ingin admin3 muncul di menu dropdown list untuk formulir landings monitoring Kobo."
t1.38.2,"Pilih ""Ya"" jika Anda ingin admin3 muncul di menu dropdown list untuk formulir landings profiling Kobo."
t1.38.3,"Pilih ""Ya"" jika Anda ingin admin3 muncul di menu dropdown list untuk formulir community profiling Kobo."
t1.38.4,"Pilih ""Ya"" jika Anda ingin admin3 muncul di menu dropdown list untuk formulir household survey Kobo."
t1.40,"Nama pembeli tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.41,"Nama pembeli dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena proses penggabungan didasarkan pada hal ini."
t1.42,"Jenis kelamin pembeli; 'laki-laki', 'perempuan', 'non-biner' atau 'bisnis_nogender'"
t1.43,"Bendera akan berwarna merah jika jenis kelamin pada buyer_gender berbeda untuk pembeli yang sama (misalkan jika Raymond Scott di admin3=Boston memiliki gender=laki-laki, tetapi Raymond Scott di admin3=Miami memiliki gender=perempuan, bendera akan berwarna merah karena jenis kelaminnya tidak sama untuk pembeli yang sama)."
t1.44,"Nama Admin1 dimana tempat pembeli membeli, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin1_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.45,"Admin2 nama tempat pembeli membeli, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin2_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.46,"Admin3 nama tempat pembeli membeli, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin3_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.47,"Nama admin2 dan admin3 digabungkan tanpa spasi dan tanpa tanda baca, hanya garis bawah. Daftar dropdown list terhubung ke kolom ""name"" di admin3_ref."
t1.48,"Bendera akan berwarna merah jika nama ""admin3_ref_name"" tidak ada di admin3_ref."
t1.52,"Nama nelayan tanpa spasi dan tanpa tanda baca, hanya garis bawah"
t1.53,"Nama nelayan dengan spasi dan tanda baca diperbolehkan. Harap jangan mengubah label kecuali benar-benar diperlukan, karena proses penggabungan didasarkan pada hal ini."
t1.54,"Jenis kelamin nelayan; 'laki-laki', 'perempuan', 'no-biner' atau 'bisnis_nogender'"
t1.55,"Bendera akan berwarna merah jika jenis kelamin nelayan fisher_gender berbeda untuk nelayan yang sama (misalkan jika Raymond Scott di admin3=Boston memiliki gender=laki-laki, tetapi Raymond Scott di admin3=Miami memiliki gender=perempuan, bendera akan berwarna merah karena jenis kelaminnya tidak sama untuk nelayan yang sama)."
t1.56,"Nama Admin1 tempat nelayan mendaratkan tangkapannya, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin1_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
t1.57,"Admin2 nama tempat nelayan mendaratkan tangkapannya, dengan spasi dan tanda baca diperbolehkan. Ini ditarik dari admin2_ref dan diisi secara otomatis berdasarkan admin3_ref_name yang dipilih."
